repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries
1,0,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,5260315264,5.260315264,"[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]","[0, 5, 1, 8, 2, 6, 11, 10, 22, 14, 4, 3, 12, 16, 7, 9, 23, 15, 13, 21]",complete,20,20,141,1422,29,1393,1393
1,0,2,1,19,[21],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,4400247165,4.400247165,"[22, 13, 23, 8, 15, 16, 14, 2, 3, 10, 9, 4, 1, 0, 12, 7, 11, 6, 5]","[5, 6, 11, 7, 12, 0, 1, 4, 9, 10, 3, 2, 14, 16, 15, 8, 23, 13, 22]",complete,19,19,118,1169,24,1145,1145
1,0,3,2,18,"[13, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 22, 23]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,3574565371,3.574565371,"[23, 15, 22, 9, 16, 12, 3, 2, 0, 1, 4, 8, 10, 14, 7, 11, 6, 5]","[5, 6, 11, 7, 14, 10, 8, 4, 1, 0, 2, 3, 12, 16, 9, 22, 15, 23]",complete,18,18,107,1020,23,997,997
1,0,4,3,17,"[13, 15, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 22, 23]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,2807199886,2.807199886,"[22, 8, 2, 7, 16, 9, 6, 1, 12, 10, 11, 5, 14, 4, 3, 23, 0]","[0, 23, 3, 4, 14, 5, 11, 10, 12, 1, 6, 9, 16, 7, 2, 8, 22]",complete,17,17,98,877,28,849,849
1,0,5,4,16,"[13, 15, 21, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,2264844922,2.264844922,"[22, 9, 7, 12, 8, 6, 14, 2, 11, 5, 10, 16, 1, 3, 4, 0]","[0, 4, 3, 1, 16, 10, 5, 11, 2, 14, 6, 8, 12, 7, 9, 22]",complete,16,16,81,739,31,708,708
1,0,6,5,15,"[9, 13, 15, 21, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 16, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,1624769766,1.624769766,"[7, 12, 8, 2, 1, 14, 22, 16, 4, 3, 10, 0, 11, 6, 5]","[5, 6, 11, 0, 10, 3, 4, 16, 22, 14, 1, 2, 8, 12, 7]",complete,15,15,74,557,20,537,537
1,0,7,6,14,"[7, 9, 13, 15, 21, 23]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,1086295866,1.086295866,"[8, 14, 2, 1, 6, 16, 3, 4, 0, 12, 11, 10, 22, 5]","[5, 22, 10, 11, 12, 0, 4, 3, 16, 6, 1, 2, 14, 8]",complete,14,14,64,418,19,399,399
1,0,8,7,13,"[7, 9, 13, 15, 16, 21, 23]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,974598400,0.974598400,"[8, 3, 2, 1, 0, 6, 14, 4, 12, 22, 11, 10, 5]","[5, 10, 11, 22, 12, 4, 14, 6, 0, 1, 2, 3, 8]",complete,13,13,58,384,17,367,367
1,0,9,8,12,"[7, 9, 12, 13, 15, 16, 21, 23]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 14, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,831934420,0.831934420,"[3, 4, 14, 22, 10, 11, 6, 2, 5, 1, 8, 0]","[0, 8, 1, 5, 2, 6, 11, 10, 22, 14, 4, 3]",complete,12,12,56,360,21,339,339
1,0,10,9,11,"[3, 7, 9, 12, 13, 15, 16, 21, 23]","[0, 1, 2, 4, 5, 6, 8, 10, 11, 14, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,590468323,0.590468323,"[4, 14, 22, 10, 11, 2, 1, 8, 6, 5, 0]","[0, 5, 6, 8, 1, 2, 11, 10, 22, 14, 4]",complete,11,11,50,280,19,261,261
1,0,11,10,10,"[3, 4, 7, 9, 12, 13, 15, 16, 21, 23]","[0, 1, 2, 5, 6, 8, 10, 11, 14, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,494967558,0.494967558,"[14, 22, 10, 11, 6, 8, 5, 1, 2, 0]","[0, 2, 1, 5, 8, 6, 11, 10, 22, 14]",complete,10,10,42,237,16,221,221
