strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_robot_import_time_s,rai_robot_template_restore_time_s,rai_builder_setup_time_s,rai_runtime_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fast_reduce_support,0,200452,True,complete,249.6663711500005,236.68853060297988,9.485023556022497,3.421047774005274,0.0,3.421047774005274,240.10957837698516,96.17217459884753,3.7990793523104722,0.028746048842002395,37,36,101,36,1061,65,996,5,19,7,19,False,9,10,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200452/benchmark.csv
fast_reduce_support,0,200453,True,complete,7.891163787004189,4.126480487997469,0.19445802699920023,3.544262383999012,0.0,3.544262383999012,7.670742871996481,97.20673754902015,2.464250296254775,0.3290121547250766,1,0,20,0,40,20,20,5,19,5,19,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200453/benchmark.csv
fast_reduce_support,0,200454,True,complete,877.9521054030047,782.84069370199,91.20622072098922,3.539761437998095,0.0,3.539761437998095,786.380455139988,89.56985811646494,10.388518936249149,0.0416229472859082,149,148,323,148,4218,175,4043,5,19,8,20,False,6,13,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200454/benchmark.csv
fast_reduce_support,0,200455,True,complete,9.905054335002205,6.224228238002979,0.1875150100022438,3.462574981000216,0.0,3.462574981000216,9.686803219003195,97.79656821035539,1.893124496446309,0.3103072931982991,1,0,20,0,57,20,37,5,19,5,19,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200455/benchmark.csv
fast_reduce_support,0,200456,True,complete,431.3420816200014,396.9051405319915,30.562809008995828,3.7101228489991627,0.0,3.7101228489991627,400.61526338099065,92.8764617345914,7.085515258379238,0.038023007029351984,82,81,166,81,2218,85,2133,5,19,7,20,False,6,12,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200456/benchmark.csv
fast_reduce_support,0,200457,True,complete,7.357175698001811,3.5927379290005774,0.19411379400116857,3.544801459000155,0.0,3.544801459000155,7.137539388000732,97.01466542302732,2.6384281410309307,0.34690643594174053,1,0,20,0,35,20,15,5,19,5,19,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200457/benchmark.csv
fast_reduce_support,0,200458,True,complete,7.096363588003442,3.4453213939996203,0.1954093520034803,3.4304722029992263,0.0,3.4304722029992263,6.875793596998847,96.89178847350108,2.7536547356990573,0.3545567907998594,1,0,20,0,38,20,18,5,19,5,19,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200458/benchmark.csv
fast_reduce_support,0,200459,True,complete,16.92890482099756,12.989489068000694,0.36830405900400365,3.5428165519988397,0.0,3.5428165519988397,16.532305619999534,97.65726604767659,2.1755929453108047,0.16714100701261136,2,1,21,1,94,20,74,5,19,5,17,False,7,10,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200459/benchmark.csv
fast_reduce_support,0,200460,True,complete,12.244841452004039,8.494694285996957,0.193993191998743,3.5299963259967626,0.0,3.5299963259967626,12.02469061199372,98.20209317635315,1.5842850457405744,0.21362177790628165,1,0,20,0,58,20,38,5,19,5,19,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200460/benchmark.csv
fast_reduce_support,0,200461,True,complete,34.54682021999906,29.059635081001034,1.9194044470059453,3.5314834080054425,0.0,3.5314834080054425,32.591118489006476,94.33898194236575,5.555951125987587,0.10506693164666182,10,9,32,9,255,23,232,5,19,5,18,False,10,10,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fast_reduce_support/seed_200461/benchmark.csv
