strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fast_reduce_support,0,200452,True,complete,10.056546434003394,9.586764441002742,0.4671080129992333,2,1,23,1,73,22,51,5,19,5,20,False,16,3,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,1,200453,True,complete,5.784634787996765,5.600549728995247,0.1832643499947153,1,0,20,0,44,20,24,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,2,200454,True,complete,6.276059868992888,6.083177567998064,0.1919096509955125,1,0,20,0,41,20,21,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,3,200455,True,complete,7.6029506730119465,7.411138469004072,0.19095651899988297,1,0,20,0,57,20,37,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,4,200456,True,complete,4.70090786300716,4.516501418998814,0.18326262600021437,1,0,20,0,44,20,24,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,0,200457,True,complete,6.903149459001725,6.701216146000661,0.20105825399514288,1,0,20,0,49,20,29,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,1,200458,True,complete,23.076685335996444,22.099341088018264,0.9713573720073327,5,4,31,4,191,27,164,5,19,6,20,False,14,3,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,2,200459,False,max_replans,792.417942828004,778.8754705089523,13.467670696001733,50,49,104,50,4068,54,4014,5,19,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,3,200460,True,complete,6.198794255993562,6.00567901400791,0.19158374099060893,1,0,20,0,50,20,30,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,4,200461,True,complete,8.731753811007366,8.343235096006538,0.38584940001601353,2,1,23,1,78,22,56,5,19,5,20,False,16,2,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
