repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,peak_supports,support_steps,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,153349721,0.153349721,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]","[0, 15, 5, 13, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,210,1,54,0,54,54,2,21,21,14,14,14,14
1,453,2,2,18,"[8, 12]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 21, 22, 23]","{""support_1"": 2}",[2],1,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,136606793,0.136606793,"[2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 0, 15, 5]","[5, 15, 0, 13, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2]",False,complete,19,19,171,1,52,0,52,52,2,20,20,13,13,13,14
1,454,3,4,16,"[2, 7, 8, 12]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 16, 21, 22, 23]","{""support_1"": 23}",[23],1,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,119172022,0.119172022,"[23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 0, 13, 5]","[5, 13, 0, 15, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23]",False,complete,17,17,136,1,48,0,48,48,2,18,18,11,11,11,12
1,455,4,6,14,"[2, 7, 8, 12, 22, 23]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 16, 21]","{""support_1"": 9}",[9],1,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,106491484,0.106491484,"[9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]","[0, 15, 5, 13, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9]",True,complete,15,15,105,1,44,0,44,44,2,16,16,9,9,9,10
1,456,5,8,12,"[2, 7, 8, 9, 12, 14, 22, 23]","[0, 1, 3, 4, 5, 6, 10, 11, 13, 15, 16, 21]","{""support_1"": 11, ""support_2"": 21}","[11, 21]",2,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,50856617,0.050856617,"[21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]","[0, 15, 5, 13, 10, 3, 16, 6, 11, 4, 1, 21]",True,complete,12,12,78,0,25,0,25,25,2,13,13,8,8,7,9
1,457,6,10,10,"[1, 2, 7, 8, 9, 12, 14, 21, 22, 23]","[0, 3, 4, 5, 6, 10, 11, 13, 15, 16]","{""support_1"": 11, ""support_2"": 4}","[4, 11]",2,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,40948444,0.040948444,"[4, 11, 6, 16, 3, 10, 15, 5, 13, 0]","[0, 13, 5, 15, 10, 3, 16, 6, 11, 4]",False,complete,10,10,55,0,18,0,18,18,2,9,9,6,6,5,7
1,458,7,12,8,"[1, 2, 4, 7, 8, 9, 11, 12, 14, 21, 22, 23]","[0, 3, 5, 6, 10, 13, 15, 16]","{""support_1"": 6, ""support_2"": 16}","[6, 16]",2,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,20374089,0.020374089,"[6, 16, 3, 10, 15, 0, 13, 5]","[5, 13, 0, 15, 10, 3, 16, 6]",False,complete,8,8,36,0,14,0,14,14,2,5,5,4,4,3,5
1,459,8,14,6,"[1, 2, 4, 6, 7, 8, 9, 11, 12, 14, 16, 21, 22, 23]","[0, 3, 5, 10, 13, 15]","{""support_1"": 10, ""support_2"": 3}","[3, 10]",2,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,10265226,0.010265226,"[3, 10, 15, 0, 13, 5]","[5, 13, 0, 15, 10, 3]",False,complete,6,6,21,0,9,0,9,9,1,2,2,2,2,1,3
1,460,9,16,4,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 21, 22, 23]","[0, 5, 13, 15]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,5183256,0.005183256,"[13, 0, 15, 5]","[5, 15, 0, 13]",False,complete,4,4,10,0,6,0,6,6,1,1,1,1,1,1,1
1,461,10,18,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 21, 22, 23]","[0, 15]","{""support_1"": 15}",[15],1,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,2776430,0.002776430,"[15, 0]","[0, 15]",True,complete,2,2,3,0,4,0,4,4,0,0,0,0,0,0,1
2,10452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 0, 15, 5]",True,146163171,0.146163171,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 0, 15, 5]","[5, 15, 0, 13, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,210,1,54,0,54,54,2,21,21,14,14,14,14
