repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,rigidity_incremental_support_updates,rigidity_incremental_support_cache_hits,rigidity_incremental_support_fallbacks,support_target_order,require_connected_supports,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,200452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 16, 10, 9, 6, 5]",True,193432569,0.193432569,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 16, 10, 9, 6, 5]","[5, 6, 9, 10, 16, 11, 0, 1, 3, 4, 12, 7, 2, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
2,210452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]",True,189080296,0.189080296,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]","[5, 10, 16, 6, 9, 11, 0, 3, 1, 4, 12, 7, 2, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
3,220452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 16, 10, 9, 6, 5]",True,189770489,0.189770489,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 16, 10, 9, 6, 5]","[5, 6, 9, 10, 16, 11, 0, 3, 1, 4, 14, 7, 2, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
4,230452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]",True,188997021,0.188997021,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]","[5, 10, 16, 6, 9, 11, 0, 3, 1, 4, 14, 7, 2, 12, 15, 13, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
5,240452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 14, 2, 7, 12, 4, 1, 3, 0, 11, 16, 10, 9, 6, 5]",True,200859103,0.200859103,"[8, 21, 22, 23, 13, 15, 14, 2, 7, 12, 4, 1, 3, 0, 11, 16, 10, 9, 6, 5]","[5, 6, 9, 10, 16, 11, 0, 3, 1, 4, 12, 7, 2, 14, 15, 13, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
6,250452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 9, 6, 16, 10, 5]",True,188543795,0.188543795,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 9, 6, 16, 10, 5]","[5, 10, 16, 6, 9, 11, 0, 1, 3, 4, 12, 7, 2, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
7,260452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]",True,191860147,0.191860147,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]","[5, 10, 16, 6, 9, 11, 0, 3, 1, 4, 14, 7, 2, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
8,270452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 3, 1, 0, 11, 9, 6, 16, 10, 5]",True,190325169,0.190325169,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 3, 1, 0, 11, 9, 6, 16, 10, 5]","[5, 10, 16, 6, 9, 11, 0, 1, 3, 4, 14, 7, 2, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
9,280452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]",True,190492987,0.190492987,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 9, 6, 16, 10, 5]","[5, 10, 16, 6, 9, 11, 0, 3, 1, 4, 14, 7, 2, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
10,290452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 16, 10, 9, 6, 5]",True,188552784,0.188552784,"[8, 21, 22, 23, 15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 16, 10, 9, 6, 5]","[5, 6, 9, 10, 16, 11, 0, 1, 3, 4, 12, 7, 2, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,173,0,71,0,71,84,13,0,0,lowest_first,True,2,19,5,19,5,5,5,5
