
repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,optimal_objective,optimality_proven,best_support_moves,best_support_peak,best_support_steps,optimal_support_moves,optimal_support_peak,optimal_support_steps,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,859604779790,859.604779790,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 0, 1, 11, 3, 4, 14, 22, 12, 21, 7, 2, 23, 15, 8, 13]",True,complete,6443,6443,14169,0,150739,2570,148169,2000,,False,,,,,,,2,19,2,19,2,2,2,2
1,453,2,2,18,"[8, 13]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 21, 22, 23]",{},[],0,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,128980316338,128.980316338,"[15, 21, 23, 22, 2, 7, 14, 12, 11, 4, 6, 1, 9, 10, 3, 16, 5, 0]","[0, 5, 16, 3, 10, 9, 1, 6, 4, 11, 12, 14, 7, 2, 22, 23, 21, 15]",False,complete,874,874,2529,0,26746,857,25889,2000,,False,,,,,,,2,16,2,16,2,2,2,2
1,454,3,4,16,"[8, 13, 15, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 21, 22]",{},[],0,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,28151029707,28.151029707,"[7, 21, 2, 22, 12, 14, 11, 10, 6, 4, 3, 16, 1, 9, 5, 0]","[0, 5, 9, 1, 16, 3, 4, 6, 10, 11, 14, 12, 22, 2, 21, 7]",False,complete,163,163,653,0,6256,258,5998,2000,,False,,,,,,,2,17,2,17,2,2,2,2
1,455,4,6,14,"[2, 7, 8, 13, 15, 23]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 12, 14, 16, 21, 22]",{},[],0,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,4355391121,4.355391121,"[22, 14, 21, 12, 4, 1, 3, 11, 10, 16, 0, 6, 9, 5]","[5, 9, 6, 0, 16, 10, 11, 3, 1, 4, 12, 21, 14, 22]",False,complete,32,32,154,0,1119,31,1088,1088,,False,,,,,,,2,18,2,18,2,2,2,2
1,456,5,8,12,"[2, 7, 8, 12, 13, 15, 21, 23]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 14, 16, 22]","{""support_1"": 9}",[9],1,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,921514018,0.921514018,"[22, 14, 11, 10, 6, 5, 4, 3, 16, 1, 9, 0]","[0, 9, 1, 16, 3, 4, 5, 6, 10, 11, 14, 22]",False,complete,15,15,45,0,270,1,269,269,,False,,,,,,,2,17,1,17,2,2,1,2
1,457,6,10,10,"[2, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,220746783,0.220746783,"[11, 6, 4, 1, 9, 3, 0, 10, 16, 5]","[5, 16, 10, 0, 3, 9, 1, 4, 6, 11]",False,complete,10,10,30,0,89,0,89,89,,False,,,,,,,2,12,0,12,2,2,0,2
1,458,7,12,8,"[2, 3, 4, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,108803363,0.108803363,"[11, 1, 0, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 0, 1, 11]",False,complete,8,8,25,0,52,0,52,52,,False,,,,,,,2,10,0,10,2,2,0,2
1,459,8,14,6,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 5, 6, 9, 10, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,44977852,0.044977852,"[6, 9, 10, 16, 0, 5]","[5, 0, 16, 10, 9, 6]",False,complete,6,6,19,0,28,0,28,28,,False,,,,,,,2,4,0,4,2,2,0,2
1,460,9,16,4,"[0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 21, 22, 23]","[5, 9, 10, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,22186236,0.022186236,"[9, 10, 16, 5]","[5, 16, 10, 9]",True,complete,4,4,9,0,15,0,15,15,,False,,,,,,,1,2,0,2,1,1,0,2
1,461,10,18,2,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[5, 16]","{""support_2"": 16}",[16],1,"[13, 8, 15, 23, 2, 7, 21, 12, 22, 14, 4, 3, 11, 1, 0, 6, 9, 10, 16, 5]",True,5105321,0.005105321,"[16, 5]","[5, 16]",True,complete,2,2,3,0,5,0,5,5,,False,,,,,,,0,0,0,0,0,0,0,1
