method,repetition,seed,runtime_s,support_steps,support_moves,peak_supports
baseline_lowest,1,200452,0.118319895,30,8,2
baseline_lowest,2,210452,0.225869057,30,9,2
baseline_lowest,3,220452,0.132431073,31,9,2
baseline_lowest,4,230452,0.10270405,25,8,2
baseline_lowest,5,240452,0.097192788,30,8,2
baseline_lowest,6,250452,0.105008025,25,7,2
baseline_lowest,7,260452,0.120274116,29,12,2
baseline_lowest,8,270452,0.128114227,30,9,2
baseline_lowest,9,280452,0.10523121,28,7,2
baseline_lowest,10,290452,0.180625765,27,9,2
default_lowest,1,200452,0.102014503,21,14,2
default_lowest,2,210452,0.098700859,21,14,2
default_lowest,3,220452,0.09899894,21,14,2
default_lowest,4,230452,0.099896306,21,14,2
default_lowest,5,240452,0.098796087,21,14,2
default_lowest,6,250452,0.099013963,21,14,2
default_lowest,7,260452,0.098950988,21,14,2
default_lowest,8,270452,0.098348691,21,14,2
default_lowest,9,280452,0.101638218,21,14,2
default_lowest,10,290452,0.102456659,21,14,2
default_furthest,1,200452,0.118641806,20,15,2
default_furthest,2,210452,0.112926117,20,15,2
default_furthest,3,220452,0.111672877,20,15,2
default_furthest,4,230452,0.112944689,20,15,2
default_furthest,5,240452,0.110399655,20,15,2
default_furthest,6,250452,0.117421368,24,11,2
default_furthest,7,260452,0.110153556,20,15,2
default_furthest,8,270452,0.117908573,24,11,2
default_furthest,9,280452,0.119184476,24,11,2
default_furthest,10,290452,0.114410238,20,15,2
fast_reduce_support_lowest,1,200452,0.300149942,19,5,2
fast_reduce_support_lowest,2,210452,0.299406425,19,5,2
fast_reduce_support_lowest,3,220452,0.311700156,19,5,2
fast_reduce_support_lowest,4,230452,0.3306004,19,5,2
fast_reduce_support_lowest,5,240452,0.368117033,19,5,2
fast_reduce_support_lowest,6,250452,0.349290136,19,5,2
fast_reduce_support_lowest,7,260452,0.343002574,19,5,2
fast_reduce_support_lowest,8,270452,0.341102738,19,5,2
fast_reduce_support_lowest,9,280452,0.338968184,19,5,2
fast_reduce_support_lowest,10,290452,0.33372697,19,5,2
fast_reduce_support_furthest,1,200452,0.308766823,19,6,2
fast_reduce_support_furthest,2,210452,0.29519626,19,6,2
fast_reduce_support_furthest,3,220452,0.287154303,19,5,2
fast_reduce_support_furthest,4,230452,0.283540199,19,5,2
fast_reduce_support_furthest,5,240452,0.313506214,19,6,2
fast_reduce_support_furthest,6,250452,0.293056979,19,6,2
fast_reduce_support_furthest,7,260452,0.287460775,19,5,2
fast_reduce_support_furthest,8,270452,0.291629811,19,5,2
fast_reduce_support_furthest,9,280452,0.296833555,19,5,2
fast_reduce_support_furthest,10,290452,0.29663181,19,6,2
baseline_random,1,200452,0.118047639,31,8,2
baseline_random,2,210452,0.116395573,28,8,2
baseline_random,3,220452,0.085182669,26,5,2
baseline_random,4,230452,0.114310533,24,8,2
baseline_random,5,240452,0.089651024,30,6,2
baseline_random,6,250452,0.101849413,25,7,2
baseline_random,7,260452,0.104146888,28,7,2
baseline_random,8,270452,0.136353771,21,6,2
baseline_random,9,280452,0.105256559,23,6,2
baseline_random,10,290452,0.18578201,25,9,2
