repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,rigidity_incremental_support_updates,rigidity_incremental_support_cache_hits,rigidity_incremental_support_fallbacks,support_target_order,require_connected_supports,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,200452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[11, 8, 15, 14, 7, 21, 9, 13, 12, 2, 6, 23, 22, 10, 4, 16, 3, 1, 0, 5]",True,118319895,0.118319895,"[11, 8, 15, 14, 7, 21, 9, 13, 12, 2, 6, 23, 22, 10, 4, 16, 3, 1, 0, 5]","[5, 0, 1, 3, 16, 4, 10, 22, 23, 6, 2, 12, 13, 9, 21, 7, 14, 15, 8, 11]",True,complete,27,27,132,7,32,0,32,42,10,0,0,lowest_first,True,2,30,8,30,8,8,8,8
2,210452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 3, 16, 15, 13, 22, 10, 14, 7, 23, 12, 2, 8, 21, 4, 1, 0, 11, 6, 5]",True,225869057,0.225869057,"[9, 3, 16, 15, 13, 22, 10, 14, 7, 23, 12, 2, 8, 21, 4, 1, 0, 11, 6, 5]","[5, 6, 11, 0, 1, 4, 21, 8, 2, 12, 23, 7, 14, 10, 22, 13, 15, 16, 3, 9]",True,complete,73,73,176,19,99,16,83,90,7,0,0,lowest_first,True,2,30,9,30,9,9,9,9
3,220452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 8, 21, 16, 13, 23, 22, 7, 15, 10, 6, 2, 3, 11, 5, 12, 14, 4, 1, 0]",True,132431073,0.132431073,"[9, 8, 21, 16, 13, 23, 22, 7, 15, 10, 6, 2, 3, 11, 5, 12, 14, 4, 1, 0]","[0, 1, 4, 14, 12, 5, 11, 3, 2, 6, 10, 15, 7, 22, 23, 13, 16, 21, 8, 9]",True,complete,34,34,142,12,38,0,38,46,8,0,0,lowest_first,True,2,31,9,31,9,9,9,9
4,230452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[15, 22, 8, 23, 14, 16, 2, 10, 11, 12, 13, 9, 6, 7, 4, 5, 21, 1, 3, 0]",True,102704050,0.102704050,"[15, 22, 8, 23, 14, 16, 2, 10, 11, 12, 13, 9, 6, 7, 4, 5, 21, 1, 3, 0]","[0, 3, 1, 21, 5, 4, 7, 6, 9, 13, 12, 11, 10, 2, 16, 14, 23, 8, 22, 15]",True,complete,24,24,144,4,29,0,29,34,5,0,0,lowest_first,True,2,25,8,25,8,8,8,8
5,240452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 12, 21, 4, 7, 2, 13, 14, 15, 1, 8, 11, 23, 22, 3, 16, 10, 0, 6, 5]",True,97192788,0.097192788,"[9, 12, 21, 4, 7, 2, 13, 14, 15, 1, 8, 11, 23, 22, 3, 16, 10, 0, 6, 5]","[5, 6, 0, 10, 16, 3, 22, 23, 11, 8, 1, 15, 14, 13, 2, 7, 4, 21, 12, 9]",True,complete,24,24,133,4,28,0,28,34,6,0,0,lowest_first,True,2,30,8,30,8,8,8,8
6,250452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[23, 15, 8, 11, 14, 16, 21, 13, 3, 12, 2, 22, 10, 9, 6, 4, 1, 7, 5, 0]",True,105008025,0.105008025,"[23, 15, 8, 11, 14, 16, 21, 13, 3, 12, 2, 22, 10, 9, 6, 4, 1, 7, 5, 0]","[0, 5, 7, 1, 4, 6, 9, 10, 22, 2, 12, 3, 13, 21, 16, 14, 11, 8, 15, 23]",True,complete,26,26,139,6,32,0,32,34,2,0,0,lowest_first,True,2,25,7,25,7,7,7,7
7,260452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[12, 9, 16, 13, 2, 15, 7, 23, 22, 5, 10, 6, 11, 8, 14, 21, 3, 4, 1, 0]",True,120274116,0.120274116,"[12, 9, 16, 13, 2, 15, 7, 23, 22, 5, 10, 6, 11, 8, 14, 21, 3, 4, 1, 0]","[0, 1, 4, 3, 21, 14, 8, 11, 6, 10, 5, 22, 23, 7, 15, 2, 13, 16, 9, 12]",True,complete,29,29,134,9,33,0,33,44,11,0,0,lowest_first,True,2,29,12,29,12,12,12,12
8,270452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[7, 16, 13, 14, 2, 8, 15, 22, 9, 10, 6, 11, 5, 23, 1, 21, 12, 4, 3, 0]",True,128114227,0.128114227,"[7, 16, 13, 14, 2, 8, 15, 22, 9, 10, 6, 11, 5, 23, 1, 21, 12, 4, 3, 0]","[0, 3, 4, 12, 21, 1, 23, 5, 11, 6, 10, 9, 22, 15, 8, 2, 14, 13, 16, 7]",True,complete,27,27,141,6,33,0,33,41,8,0,0,lowest_first,True,2,30,9,30,9,9,9,9
9,280452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[2, 23, 16, 21, 13, 8, 12, 22, 15, 9, 10, 7, 3, 1, 4, 14, 0, 11, 6, 5]",True,105231210,0.105231210,"[2, 23, 16, 21, 13, 8, 12, 22, 15, 9, 10, 7, 3, 1, 4, 14, 0, 11, 6, 5]","[5, 6, 11, 0, 14, 4, 1, 3, 7, 10, 9, 15, 22, 12, 8, 13, 21, 16, 23, 2]",True,complete,26,26,133,6,30,0,30,43,13,0,0,lowest_first,True,2,28,7,28,7,7,7,7
10,290452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[7, 9, 23, 3, 12, 13, 2, 14, 22, 15, 21, 16, 4, 0, 10, 1, 8, 11, 6, 5]",True,180625765,0.180625765,"[7, 9, 23, 3, 12, 13, 2, 14, 22, 15, 21, 16, 4, 0, 10, 1, 8, 11, 6, 5]","[5, 6, 11, 8, 1, 10, 0, 4, 16, 21, 15, 22, 14, 2, 13, 12, 3, 23, 9, 7]",True,complete,36,36,140,15,45,0,45,54,9,0,0,lowest_first,True,2,27,9,27,9,9,9,9
