repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,rigidity_incremental_support_updates,rigidity_incremental_support_cache_hits,rigidity_incremental_support_fallbacks,support_target_order,require_connected_supports,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,200452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[11, 8, 15, 14, 7, 9, 12, 13, 2, 6, 4, 21, 23, 3, 22, 16, 1, 10, 0, 5]",True,118047639,0.118047639,"[11, 8, 15, 14, 7, 9, 12, 13, 2, 6, 4, 21, 23, 3, 22, 16, 1, 10, 0, 5]","[5, 0, 10, 1, 16, 22, 3, 23, 21, 4, 6, 2, 13, 12, 9, 7, 14, 15, 8, 11]",True,complete,28,28,128,8,32,0,32,42,10,0,0,random,True,2,31,8,31,8,8,8,8
2,210452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 3, 16, 13, 2, 23, 21, 12, 7, 14, 15, 4, 22, 1, 0, 10, 8, 11, 6, 5]",True,116395573,0.116395573,"[9, 3, 16, 13, 2, 23, 21, 12, 7, 14, 15, 4, 22, 1, 0, 10, 8, 11, 6, 5]","[5, 6, 11, 8, 10, 0, 1, 22, 4, 15, 14, 7, 12, 21, 23, 2, 13, 16, 3, 9]",True,complete,29,29,145,6,36,0,36,41,5,0,0,random,True,2,28,8,28,8,8,8,8
3,220452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 8, 7, 6, 23, 15, 2, 13, 21, 16, 22, 10, 5, 14, 11, 12, 4, 1, 3, 0]",True,85182669,0.085182669,"[9, 8, 7, 6, 23, 15, 2, 13, 21, 16, 22, 10, 5, 14, 11, 12, 4, 1, 3, 0]","[0, 3, 1, 4, 12, 11, 14, 5, 10, 22, 16, 21, 13, 2, 15, 23, 6, 7, 8, 9]",True,complete,25,25,141,2,29,0,29,33,4,0,0,random,True,2,26,5,26,5,5,5,5
4,230452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[15, 22, 8, 23, 14, 16, 13, 2, 21, 3, 4, 10, 0, 7, 12, 1, 9, 11, 6, 5]",True,114310533,0.114310533,"[15, 22, 8, 23, 14, 16, 13, 2, 21, 3, 4, 10, 0, 7, 12, 1, 9, 11, 6, 5]","[5, 6, 11, 9, 1, 12, 7, 0, 10, 4, 3, 21, 2, 13, 16, 14, 23, 8, 22, 15]",True,complete,28,28,146,8,34,0,34,38,4,0,0,random,True,2,24,8,24,8,8,8,8
5,240452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 12, 16, 22, 15, 7, 2, 13, 21, 23, 6, 8, 14, 1, 4, 3, 0, 11, 10, 5]",True,89651024,0.089651024,"[9, 12, 16, 22, 15, 7, 2, 13, 21, 23, 6, 8, 14, 1, 4, 3, 0, 11, 10, 5]","[5, 10, 11, 0, 3, 4, 1, 14, 8, 6, 23, 21, 13, 2, 7, 15, 22, 16, 12, 9]",True,complete,25,25,132,5,28,0,28,32,4,0,0,random,True,2,30,6,30,6,6,6,6
6,250452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[23, 15, 8, 11, 14, 16, 21, 13, 3, 12, 2, 22, 10, 9, 6, 4, 1, 7, 5, 0]",True,101849413,0.101849413,"[23, 15, 8, 11, 14, 16, 21, 13, 3, 12, 2, 22, 10, 9, 6, 4, 1, 7, 5, 0]","[0, 5, 7, 1, 4, 6, 9, 10, 22, 2, 12, 3, 13, 21, 16, 14, 11, 8, 15, 23]",True,complete,26,26,139,6,32,0,32,34,2,0,0,random,True,2,25,7,25,7,7,7,7
7,260452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[12, 7, 2, 21, 8, 22, 16, 15, 10, 13, 23, 14, 3, 9, 4, 1, 0, 11, 6, 5]",True,104146888,0.104146888,"[12, 7, 2, 21, 8, 22, 16, 15, 10, 13, 23, 14, 3, 9, 4, 1, 0, 11, 6, 5]","[5, 6, 11, 0, 1, 4, 9, 3, 14, 23, 13, 10, 15, 16, 22, 8, 21, 2, 7, 12]",True,complete,29,29,139,6,37,1,36,40,4,0,0,random,True,2,28,7,28,7,7,7,7
8,270452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[7, 16, 15, 2, 14, 9, 21, 13, 6, 22, 8, 1, 11, 10, 12, 23, 4, 3, 0, 5]",True,136353771,0.136353771,"[7, 16, 15, 2, 14, 9, 21, 13, 6, 22, 8, 1, 11, 10, 12, 23, 4, 3, 0, 5]","[5, 0, 3, 4, 23, 12, 10, 11, 1, 8, 22, 6, 13, 21, 9, 14, 2, 15, 16, 7]",True,complete,26,26,147,6,36,0,36,43,7,0,0,random,True,2,21,6,21,6,6,6,6
9,280452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[2, 23, 16, 15, 22, 12, 9, 21, 3, 1, 8, 13, 7, 10, 0, 4, 14, 11, 6, 5]",True,105256559,0.105256559,"[2, 23, 16, 15, 22, 12, 9, 21, 3, 1, 8, 13, 7, 10, 0, 4, 14, 11, 6, 5]","[5, 6, 11, 14, 4, 0, 10, 7, 13, 8, 1, 3, 21, 9, 12, 22, 15, 16, 23, 2]",True,complete,30,30,139,1,39,2,37,40,3,0,0,random,True,2,23,6,23,6,6,6,6
10,290452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[7, 9, 23, 3, 12, 13, 16, 22, 10, 6, 15, 5, 2, 8, 11, 14, 21, 4, 1, 0]",True,185782010,0.185782010,"[7, 9, 23, 3, 12, 13, 16, 22, 10, 6, 15, 5, 2, 8, 11, 14, 21, 4, 1, 0]","[0, 1, 4, 21, 14, 11, 8, 2, 5, 15, 6, 10, 22, 16, 13, 12, 3, 23, 9, 7]",True,complete,38,38,143,12,50,1,49,56,7,0,0,random,True,2,25,9,25,9,9,9,9
