repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,rigidity_incremental_support_updates,rigidity_incremental_support_cache_hits,rigidity_incremental_support_fallbacks,support_target_order,require_connected_supports,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,200452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 0, 13, 5]",True,118641806,0.118641806,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 0, 13, 5]","[5, 13, 0, 15, 7, 6, 9, 1, 2, 10, 11, 3, 23, 4, 22, 14, 21, 16, 12, 8]",True,complete,22,22,147,2,29,0,29,62,33,0,0,furthest_from_removed,True,2,20,15,20,15,15,15,15
2,210452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 13, 5, 15, 0]",True,112926117,0.112926117,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 13, 5, 15, 0]","[0, 15, 5, 13, 7, 6, 9, 1, 2, 10, 11, 3, 23, 4, 22, 14, 21, 16, 12, 8]",True,complete,22,22,147,2,29,0,29,62,33,0,0,furthest_from_removed,True,2,20,15,20,15,15,15,15
3,220452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 5, 13, 0]",True,111672877,0.111672877,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 5, 13, 0]","[0, 13, 5, 15, 7, 6, 9, 1, 2, 10, 11, 3, 23, 4, 22, 14, 21, 16, 12, 8]",True,complete,22,22,147,2,29,0,29,62,33,0,0,furthest_from_removed,True,2,20,15,20,15,15,15,15
4,230452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 0, 13, 5]",True,112944689,0.112944689,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 0, 13, 5]","[5, 13, 0, 15, 7, 6, 9, 1, 2, 10, 11, 3, 23, 4, 22, 14, 21, 16, 12, 8]",True,complete,22,22,147,2,29,0,29,62,33,0,0,furthest_from_removed,True,2,20,15,20,15,15,15,15
5,240452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 0, 13, 5]",True,110399655,0.110399655,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 0, 13, 5]","[5, 13, 0, 15, 7, 6, 9, 1, 2, 10, 11, 3, 23, 4, 22, 14, 21, 16, 12, 8]",True,complete,22,22,147,2,29,0,29,62,33,0,0,furthest_from_removed,True,2,20,15,20,15,15,15,15
6,250452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 14, 7, 12, 2, 11, 21, 4, 1, 9, 6, 3, 16, 23, 22, 10, 13, 0, 15, 5]",True,117421368,0.117421368,"[8, 14, 7, 12, 2, 11, 21, 4, 1, 9, 6, 3, 16, 23, 22, 10, 13, 0, 15, 5]","[5, 15, 0, 13, 10, 22, 23, 16, 3, 6, 9, 1, 4, 21, 11, 2, 12, 7, 14, 8]",True,complete,23,23,138,3,31,0,31,40,9,0,0,furthest_from_removed,True,2,24,11,24,11,11,11,11
7,260452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 13, 5, 15, 0]",True,110153556,0.110153556,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 13, 5, 15, 0]","[0, 15, 5, 13, 7, 6, 9, 1, 2, 10, 11, 3, 23, 4, 22, 14, 21, 16, 12, 8]",True,complete,22,22,147,2,29,0,29,62,33,0,0,furthest_from_removed,True,2,20,15,20,15,15,15,15
8,270452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 14, 7, 12, 2, 11, 21, 4, 1, 9, 6, 3, 16, 23, 22, 10, 15, 5, 13, 0]",True,117908573,0.117908573,"[8, 14, 7, 12, 2, 11, 21, 4, 1, 9, 6, 3, 16, 23, 22, 10, 15, 5, 13, 0]","[0, 13, 5, 15, 10, 22, 23, 16, 3, 6, 9, 1, 4, 21, 11, 2, 12, 7, 14, 8]",True,complete,23,23,138,3,31,0,31,40,9,0,0,furthest_from_removed,True,2,24,11,24,11,11,11,11
9,280452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 14, 7, 12, 2, 11, 21, 4, 1, 9, 6, 3, 16, 23, 22, 10, 13, 5, 15, 0]",True,119184476,0.119184476,"[8, 14, 7, 12, 2, 11, 21, 4, 1, 9, 6, 3, 16, 23, 22, 10, 13, 5, 15, 0]","[0, 15, 5, 13, 10, 22, 23, 16, 3, 6, 9, 1, 4, 21, 11, 2, 12, 7, 14, 8]",True,complete,23,23,138,3,31,0,31,40,9,0,0,furthest_from_removed,True,2,24,11,24,11,11,11,11
10,290452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 5, 13, 0]",True,114410238,0.114410238,"[8, 12, 16, 21, 14, 22, 4, 23, 3, 11, 10, 2, 1, 9, 6, 7, 15, 5, 13, 0]","[0, 13, 5, 15, 7, 6, 9, 1, 2, 10, 11, 3, 23, 4, 22, 14, 21, 16, 12, 8]",True,complete,22,22,147,2,29,0,29,62,33,0,0,furthest_from_removed,True,2,20,15,20,15,15,15,15
