repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,rigidity_incremental_support_updates,rigidity_incremental_support_cache_hits,rigidity_incremental_support_fallbacks,support_target_order,require_connected_supports,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,200452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 0, 13, 5]",True,102014503,0.102014503,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 0, 13, 5]","[5, 13, 0, 15, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
2,210452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,98700859,0.098700859,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]","[0, 15, 5, 13, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
3,220452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 5, 13, 0]",True,98998940,0.098998940,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 5, 13, 0]","[0, 13, 5, 15, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
4,230452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 0, 13, 5]",True,99896306,0.099896306,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 0, 13, 5]","[5, 13, 0, 15, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
5,240452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 0, 13, 5]",True,98796087,0.098796087,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 0, 13, 5]","[5, 13, 0, 15, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
6,250452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 14, 2, 7, 23, 22, 9, 12, 21, 1, 4, 11, 6, 16, 3, 10, 13, 0, 15, 5]",True,99013963,0.099013963,"[8, 14, 2, 7, 23, 22, 9, 12, 21, 1, 4, 11, 6, 16, 3, 10, 13, 0, 15, 5]","[5, 15, 0, 13, 10, 3, 16, 6, 11, 4, 1, 21, 12, 9, 22, 23, 7, 2, 14, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
7,260452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,98950988,0.098950988,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]","[0, 15, 5, 13, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
8,270452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 14, 2, 7, 23, 22, 9, 12, 21, 1, 4, 11, 6, 16, 3, 10, 15, 5, 13, 0]",True,98348691,0.098348691,"[8, 14, 2, 7, 23, 22, 9, 12, 21, 1, 4, 11, 6, 16, 3, 10, 15, 5, 13, 0]","[0, 13, 5, 15, 10, 3, 16, 6, 11, 4, 1, 21, 12, 9, 22, 23, 7, 2, 14, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
9,280452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 14, 2, 7, 23, 22, 9, 12, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]",True,101638218,0.101638218,"[8, 14, 2, 7, 23, 22, 9, 12, 21, 1, 4, 11, 6, 16, 3, 10, 13, 5, 15, 0]","[0, 15, 5, 13, 10, 3, 16, 6, 11, 4, 1, 21, 12, 9, 22, 23, 7, 2, 14, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
10,290452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 5, 13, 0]",True,102456659,0.102456659,"[8, 12, 2, 7, 23, 22, 9, 14, 21, 1, 4, 11, 6, 16, 3, 10, 15, 5, 13, 0]","[0, 13, 5, 15, 10, 3, 16, 6, 11, 4, 1, 21, 14, 9, 22, 23, 7, 2, 12, 8]",True,complete,21,21,149,1,27,0,27,40,13,0,0,lowest_first,True,2,21,14,21,14,14,14,14
