repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,rigidity_incremental_support_updates,rigidity_incremental_support_cache_hits,rigidity_incremental_support_fallbacks,support_target_order,require_connected_supports,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,200452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]",True,308766823,0.308766823,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]","[0, 1, 9, 3, 16, 4, 6, 5, 10, 11, 12, 2, 7, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,172,0,74,0,74,87,13,0,0,furthest_from_removed,True,2,19,6,19,6,6,6,6
2,210452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]",True,295196260,0.295196260,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]","[0, 1, 9, 3, 16, 4, 6, 5, 10, 11, 12, 2, 7, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,172,0,74,0,74,87,13,0,0,furthest_from_removed,True,2,19,6,19,6,6,6,6
3,220452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 7, 2, 14, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]",True,287154303,0.287154303,"[8, 21, 22, 23, 15, 13, 12, 7, 2, 14, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]","[0, 3, 16, 1, 9, 4, 6, 5, 10, 11, 14, 2, 7, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,171,0,72,0,72,83,11,0,0,furthest_from_removed,True,2,19,5,19,5,5,5,5
4,230452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]",True,283540199,0.283540199,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]","[0, 3, 16, 1, 9, 4, 6, 5, 10, 11, 14, 7, 2, 12, 15, 13, 23, 22, 21, 8]",True,complete,20,20,171,0,72,0,72,83,11,0,0,furthest_from_removed,True,2,19,5,19,5,5,5,5
5,240452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 14, 7, 2, 12, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]",True,313506214,0.313506214,"[8, 21, 22, 23, 13, 15, 14, 7, 2, 12, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]","[0, 3, 16, 1, 9, 4, 6, 5, 10, 11, 12, 2, 7, 14, 15, 13, 23, 22, 21, 8]",True,complete,20,20,172,0,74,0,74,87,13,0,0,furthest_from_removed,True,2,19,6,19,6,6,6,6
6,250452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]",True,293056979,0.293056979,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]","[0, 3, 16, 1, 9, 4, 6, 5, 10, 11, 12, 2, 7, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,172,0,74,0,74,87,13,0,0,furthest_from_removed,True,2,19,6,19,6,6,6,6
7,260452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 7, 2, 14, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]",True,287460775,0.287460775,"[8, 21, 22, 23, 15, 13, 12, 7, 2, 14, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]","[0, 1, 9, 3, 16, 4, 6, 5, 10, 11, 14, 2, 7, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,171,0,72,0,72,83,11,0,0,furthest_from_removed,True,2,19,5,19,5,5,5,5
8,270452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 7, 2, 14, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]",True,291629811,0.291629811,"[8, 21, 22, 23, 15, 13, 12, 7, 2, 14, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]","[0, 1, 9, 3, 16, 4, 6, 5, 10, 11, 14, 2, 7, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,171,0,72,0,72,83,11,0,0,furthest_from_removed,True,2,19,5,19,5,5,5,5
9,280452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]",True,296833555,0.296833555,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 11, 10, 5, 6, 4, 16, 3, 9, 1, 0]","[0, 1, 9, 3, 16, 4, 6, 5, 10, 11, 14, 7, 2, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,171,0,72,0,72,83,11,0,0,furthest_from_removed,True,2,19,5,19,5,5,5,5
10,290452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]",True,296631810,0.296631810,"[8, 21, 22, 23, 15, 13, 14, 7, 2, 12, 11, 10, 5, 6, 4, 9, 1, 16, 3, 0]","[0, 3, 16, 1, 9, 4, 6, 5, 10, 11, 12, 2, 7, 14, 13, 15, 23, 22, 21, 8]",True,complete,20,20,172,0,74,0,74,87,13,0,0,furthest_from_removed,True,2,19,6,19,6,6,6,6
