repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,rigidity_incremental_support_updates,rigidity_incremental_support_cache_hits,rigidity_incremental_support_fallbacks,support_target_order,require_connected_supports,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,200452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 0, 5]",True,160163076,0.160163076,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 0, 5]","[5, 0, 13, 15, 7, 2, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16, 3, 8]",True,complete,34,34,142,14,38,0,38,48,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
2,210452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 5, 0]",True,157975746,0.157975746,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 5, 0]","[0, 5, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10, 22, 16, 3, 8]",True,complete,34,34,142,14,38,0,38,48,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
3,220452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 0, 5]",True,164627426,0.164627426,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 0, 5]","[5, 0, 13, 15, 7, 2, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10, 22, 16, 3, 8]",True,complete,35,35,142,15,39,0,39,49,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
4,230452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 15, 13, 5, 0]",True,164559017,0.164559017,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 15, 13, 5, 0]","[0, 5, 13, 15, 2, 7, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16, 3, 8]",True,complete,35,35,142,15,39,0,39,49,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
5,240452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 15, 13, 5, 0]",True,164795131,0.164795131,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 15, 13, 5, 0]","[0, 5, 13, 15, 2, 7, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16, 3, 8]",True,complete,35,35,142,15,39,0,39,49,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
6,250452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 2, 7, 13, 15, 5, 0]",True,164430473,0.164430473,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 2, 7, 13, 15, 5, 0]","[0, 5, 15, 13, 7, 2, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16, 3, 8]",True,complete,35,35,142,15,39,0,39,49,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
7,260452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 5, 0]",True,159254295,0.159254295,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 5, 0]","[0, 5, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16, 3, 8]",True,complete,34,34,142,14,38,0,38,48,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
8,270452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 0, 5]",True,185676242,0.185676242,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 0, 5]","[5, 0, 13, 15, 7, 2, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16, 3, 8]",True,complete,35,35,142,15,39,0,39,49,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
9,280452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,160237965,0.160237965,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]","[5, 0, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10, 22, 16, 3, 8]",True,complete,34,34,142,14,38,0,38,48,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
10,290452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 5, 0]",True,159061101,0.159061101,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 5, 0]","[0, 5, 13, 15, 7, 2, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10, 22, 16, 3, 8]",True,complete,34,34,142,14,38,0,38,48,10,0,0,lowest_first,True,2,26,10,26,10,10,10,10
