strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_robot_import_time_s,rai_robot_template_restore_time_s,rai_builder_setup_time_s,rai_runtime_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fast_reduce_support,0,200452,True,complete,6.547274816010031,2.986185101006413,0.21733485099684913,3.3141871900006663,0.0,3.3141871900006663,6.300372291007079,96.22892681395928,3.319470422493965,0.451602763546764,1,0,20,0,36,20,16,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200452/benchmark.csv
fast_reduce_support,0,200453,True,complete,9.187195878999773,5.589551416007453,0.19092744999215938,3.3771131980029168,0.0,3.3771131980029168,8.96666461401037,97.59958024304785,2.078190696125073,0.3222290608270741,1,0,20,0,38,20,18,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200453/benchmark.csv
fast_reduce_support,0,200454,True,complete,11.236597235998488,7.427428251990932,0.3773240009904839,3.4059348839946324,0.0,3.4059348839946324,10.833363135985564,96.41142161150806,3.3579916861454966,0.23058670234643594,2,1,23,1,69,22,47,5,19,5,20,False,16,3,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200454/benchmark.csv
fast_reduce_support,0,200455,True,complete,12.350724144998821,8.508894201004296,0.3812256949895527,3.433953123007086,0.0,3.433953123007086,11.942847324011382,96.69754731626323,3.0866667453172973,0.2157859384194799,2,1,23,1,74,22,52,5,19,5,20,False,16,3,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200455/benchmark.csv
fast_reduce_support,0,200456,True,complete,48.41503929399187,43.19734984500974,1.725683943979675,3.4569502269878285,0.0,3.4569502269878285,46.65430007199757,96.36323909332694,3.5643551448977675,0.07240576177529763,8,7,33,7,252,26,226,5,19,5,18,False,13,6,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200456/benchmark.csv
fast_reduce_support,0,200457,True,complete,10.392101678007748,6.262313605999225,0.2160715030040592,3.8791050110012293,0.0,3.8791050110012293,10.141418617000454,97.58775396185932,2.079189654786768,0.33305638335392035,1,0,20,0,42,20,22,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200457/benchmark.csv
fast_reduce_support,0,200458,True,complete,13.372493240996846,9.031782603997272,0.42002280900487676,3.887065276998328,0.0,3.887065276998328,12.9188478809956,96.60762318719685,3.1409461305030835,0.25143068230007426,2,1,21,1,63,20,43,5,19,5,19,False,15,4,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200458/benchmark.csv
fast_reduce_support,0,200459,True,complete,452.88712198300345,423.3100696740148,25.524995000945637,3.8999902960058535,0.0,3.8999902960058535,427.21005997002067,94.3303616361283,5.636061120303521,0.033577243568179344,75,74,155,74,2067,81,1986,5,19,5,19,False,6,2,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200459/benchmark.csv
fast_reduce_support,0,200460,True,complete,13.52646303200163,9.580753115005791,0.39076314998965245,3.5258090370043647,0.0,3.5258090370043647,13.106562152010156,96.89570822026387,2.8888790001138074,0.21541277962232688,2,1,23,1,87,22,65,5,19,5,20,False,16,3,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200460/benchmark.csv
fast_reduce_support,0,200461,True,complete,9.43262004799908,5.6137868109944975,0.3788798180030426,3.4140714179957286,0.0,3.4140714179957286,9.027858228990226,95.7089142046518,4.016697546122548,0.2743882492256423,2,1,21,1,61,20,41,5,19,5,19,False,13,2,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fast_reduce_support/seed_200461/benchmark.csv
baseline,0,200452,False,total_runtime_limit,2009.4543423249997,1773.9369961710472,230.98868692296674,3.6634088450082345,0.0,3.6634088450082345,1777.6004050160554,88.46184596358222,11.495095064250417,0.0430589721673616,267,266,524,267,7067,257,6810,9,31,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200452/benchmark.csv
baseline,0,200453,True,complete,13.868408508991706,8.990724317001877,0.13044583900773432,4.710135640998487,0.0,4.710135640998487,13.700859958000365,98.79186893807815,0.9405970333449479,0.26753402857690034,1,0,20,0,52,20,32,6,26,6,26,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200453/benchmark.csv
baseline,0,200454,False,structural_runtime_limit,2000.013668776999,1676.2873339980288,318.65229577697755,3.9702909179904964,0.0,3.9702909179904964,1680.2576249160193,84.01230707305568,15.932505899913787,0.05518702703053169,300,299,579,299,7754,280,7474,8,24,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200454/benchmark.csv
baseline,0,200455,True,complete,117.07861136700376,111.4847304509749,1.797093444969505,3.750975198010565,0.0,3.750975198010565,115.23570564898546,98.42592451644188,1.5349459854252931,0.03912949813283063,15,14,50,14,478,36,442,9,29,9,31,False,11,6,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200455/benchmark.csv
baseline,0,200456,False,total_runtime_limit,2007.6012573759945,1750.4297490741155,252.77652897888038,3.5159419390110997,0.0,3.5159419390110997,1753.9456910131266,87.36524170669206,12.590972836372307,0.04378545693562599,273,272,510,273,7472,237,7235,10,29,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200456/benchmark.csv
