removal_strategy,support_target_order,source_file,runs_total,successful_runs,failed_runs,success_rate,runtime_limit_failures,open_list_exhausted_failures,other_failures,seed_min,seed_max,included_rod_count_min,included_rod_count_max,require_connected_supports,runtime_s_successful_runs_mean,runtime_s_successful_runs_median,runtime_s_successful_runs_std,runtime_s_successful_runs_min,runtime_s_successful_runs_max,runtime_s_successful_runs_total,search_expansions_successful_runs_mean,search_expansions_successful_runs_median,search_expansions_successful_runs_std,search_expansions_successful_runs_min,search_expansions_successful_runs_max,search_attempted_transitions_successful_runs_mean,search_attempted_transitions_successful_runs_median,search_attempted_transitions_successful_runs_std,search_attempted_transitions_successful_runs_min,search_attempted_transitions_successful_runs_max,search_enqueued_candidates_successful_runs_mean,search_enqueued_candidates_successful_runs_median,search_enqueued_candidates_successful_runs_std,search_enqueued_candidates_successful_runs_min,search_enqueued_candidates_successful_runs_max,search_backtracks_successful_runs_mean,search_backtracks_successful_runs_median,search_backtracks_successful_runs_std,search_backtracks_successful_runs_min,search_backtracks_successful_runs_max,rigidity_check_calls_successful_runs_mean,rigidity_check_calls_successful_runs_median,rigidity_check_calls_successful_runs_std,rigidity_check_calls_successful_runs_min,rigidity_check_calls_successful_runs_max,rigidity_cache_hits_successful_runs_mean,rigidity_cache_hits_successful_runs_median,rigidity_cache_hits_successful_runs_std,rigidity_cache_hits_successful_runs_min,rigidity_cache_hits_successful_runs_max,rigidity_cache_misses_successful_runs_mean,rigidity_cache_misses_successful_runs_median,rigidity_cache_misses_successful_runs_std,rigidity_cache_misses_successful_runs_min,rigidity_cache_misses_successful_runs_max,rigidity_cached_entries_successful_runs_mean,rigidity_cached_entries_successful_runs_median,rigidity_cached_entries_successful_runs_std,rigidity_cached_entries_successful_runs_min,rigidity_cached_entries_successful_runs_max,rigidity_incremental_support_updates_successful_runs_mean,rigidity_incremental_support_updates_successful_runs_median,rigidity_incremental_support_updates_successful_runs_std,rigidity_incremental_support_updates_successful_runs_min,rigidity_incremental_support_updates_successful_runs_max,rigidity_incremental_support_cache_hits_successful_runs_mean,rigidity_incremental_support_cache_hits_successful_runs_median,rigidity_incremental_support_cache_hits_successful_runs_std,rigidity_incremental_support_cache_hits_successful_runs_min,rigidity_incremental_support_cache_hits_successful_runs_max,rigidity_incremental_support_fallbacks_successful_runs_mean,rigidity_incremental_support_fallbacks_successful_runs_median,rigidity_incremental_support_fallbacks_successful_runs_std,rigidity_incremental_support_fallbacks_successful_runs_min,rigidity_incremental_support_fallbacks_successful_runs_max,backtrack_rate_successful_runs,rigidity_cache_hit_rate_successful_runs,incremental_support_cache_hit_rate_successful_runs,incremental_support_fallback_rate_successful_runs,peak_supports_successful_runs_mean,peak_supports_successful_runs_median,peak_supports_successful_runs_std,peak_supports_successful_runs_min,peak_supports_successful_runs_max,support_steps_successful_runs_mean,support_steps_successful_runs_median,support_steps_successful_runs_std,support_steps_successful_runs_min,support_steps_successful_runs_max,support_moves_successful_runs_mean,support_moves_successful_runs_median,support_moves_successful_runs_std,support_moves_successful_runs_min,support_moves_successful_runs_max,supported_rod_steps_successful_runs_mean,supported_rod_steps_successful_runs_median,supported_rod_steps_successful_runs_std,supported_rod_steps_successful_runs_min,supported_rod_steps_successful_runs_max,support_assignment_episodes_successful_runs_mean,support_assignment_episodes_successful_runs_median,support_assignment_episodes_successful_runs_std,support_assignment_episodes_successful_runs_min,support_assignment_episodes_successful_runs_max,supported_rod_episodes_successful_runs_mean,supported_rod_episodes_successful_runs_median,supported_rod_episodes_successful_runs_std,supported_rod_episodes_successful_runs_min,supported_rod_episodes_successful_runs_max,support_additions_successful_runs_mean,support_additions_successful_runs_median,support_additions_successful_runs_std,support_additions_successful_runs_min,support_additions_successful_runs_max,support_releases_successful_runs_mean,support_releases_successful_runs_median,support_releases_successful_runs_std,support_releases_successful_runs_min,support_releases_successful_runs_max,unique_successful_removal_sequences,dominant_sequence_count,dominant_sequence_share
default,lowest_first,grid_default_lowest_first_10reps.csv,10,10,0,1.0,0,0,0,200452,290452,149,149,True,3.1708389198,3.1686499059999997,0.05528158577488993,3.100014846,3.255721426,31.708389198,185.7,185.5,0.8232726023485646,185.0,187.0,185.7,185.5,0.8232726023485646,185.0,187.0,8394.3,8394.0,4.498147766951785,8386.0,8401.0,36.7,36.5,0.8232726023485646,36.0,38.0,212.6,212.5,0.9660917830792959,211.0,214.0,0.0,0.0,0.0,0.0,0.0,212.6,212.5,0.9660917830792959,211.0,214.0,411.6,411.5,0.9660917830792959,410.0,413.0,199.0,199.0,0.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19763058696822833,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,99.9,100.0,0.31622776601683794,99.0,100.0,67.9,68.0,0.31622776601683794,67.0,68.0,99.9,100.0,0.31622776601683794,99.0,100.0,67.9,68.0,0.31622776601683794,67.0,68.0,67.9,68.0,0.31622776601683794,67.0,68.0,67.9,68.0,0.31622776601683794,67.0,68.0,67.9,68.0,0.31622776601683794,67.0,68.0,10,1,0.1
default,least_connected,grid_default_least_connected_10reps.csv,10,9,1,0.9,1,0,0,200452,290452,149,149,True,3.0988849907777776,3.075567281,0.11587348022689423,2.962338463,3.285002814,27.889964917,158.44444444444446,156.0,5.79031758868007,151.0,169.0,158.44444444444446,156.0,5.79031758868007,151.0,169.0,8418.444444444445,8417.0,27.404886020156656,8363.0,8453.0,9.444444444444445,7.0,5.79031758868007,2.0,20.0,186.33333333333334,184.0,6.34428877022476,177.0,196.0,0.0,0.0,0.0,0.0,0.0,186.33333333333334,184.0,6.34428877022476,177.0,196.0,305.22222222222223,299.0,25.22785057123267,272.0,356.0,118.88888888888889,115.0,22.149742912980077,88.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05960729312762973,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,96.22222222222223,95.0,3.073181485764296,93.0,103.0,70.55555555555556,70.0,1.0137937550497034,69.0,72.0,96.22222222222223,95.0,3.073181485764296,93.0,103.0,70.55555555555556,70.0,1.0137937550497034,69.0,72.0,70.55555555555556,70.0,1.0137937550497034,69.0,72.0,70.55555555555556,70.0,1.0137937550497034,69.0,72.0,70.55555555555556,70.0,1.0137937550497034,69.0,72.0,9,1,0.1111111111111111
default,random,grid_default_random_10reps.csv,10,6,4,0.6,4,0,0,200452,290452,149,149,True,3.8500441446666667,3.5580138640000003,0.5772876092970342,3.382003833,4.811667361,23.100264868,188.33333333333334,182.0,18.565200420859092,168.0,215.0,188.33333333333334,182.0,18.565200420859092,168.0,215.0,8280.5,8323.5,137.30950440519405,8009.0,8382.0,39.333333333333336,33.0,18.565200420859092,19.0,66.0,223.16666666666666,218.5,18.30209459779581,204.0,247.0,0.0,0.0,0.0,0.0,0.0,223.16666666666666,218.5,18.30209459779581,204.0,247.0,349.3333333333333,363.0,76.78454705646617,247.0,434.0,126.16666666666667,144.5,60.21766075385747,40.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2088495575221239,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,113.16666666666667,109.0,11.160943807163742,106.0,135.0,62.5,64.0,4.5934736311423405,54.0,66.0,113.16666666666667,109.0,11.160943807163742,106.0,135.0,62.5,64.0,4.5934736311423405,54.0,66.0,62.5,64.0,4.5934736311423405,54.0,66.0,62.5,64.0,4.5934736311423405,54.0,66.0,62.5,64.0,4.5934736311423405,54.0,66.0,6,1,0.16666666666666666
default,furthest_from_removed,grid_default_furthest_from_removed_10reps.csv,10,10,0,1.0,0,0,0,200452,290452,149,149,True,3.3905768347,3.320253454,0.18473629023606852,3.150002557,3.68917101,33.905768347,154.8,158.0,5.0508525133002165,149.0,160.0,154.8,158.0,5.0508525133002165,149.0,160.0,8440.8,8442.5,6.729701991090607,8430.0,8448.0,5.8,9.0,5.0508525133002165,0.0,11.0,187.7,191.5,6.750308634919345,180.0,195.0,0.0,0.0,0.0,0.0,0.0,187.7,191.5,6.750308634919345,180.0,195.0,283.3,287.5,7.257945837341153,275.0,291.0,95.6,96.0,0.5163977794943223,95.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037467700258397935,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,93.9,95.5,2.5144029554194813,91.0,96.0,70.5,69.0,2.173067468400883,68.0,73.0,93.9,95.5,2.5144029554194813,91.0,96.0,70.5,69.0,2.173067468400883,68.0,73.0,70.5,69.0,2.173067468400883,68.0,73.0,70.5,69.0,2.173067468400883,68.0,73.0,70.5,69.0,2.173067468400883,68.0,73.0,10,1,0.1
highest_first,lowest_first,grid_highest_first_lowest_first_10reps.csv,10,10,0,1.0,0,0,0,200452,290452,149,149,True,14.8991422836,9.6391089845,9.038176505895683,7.047461011,28.465102617,148.991422836,456.7,477.0,46.51415555147343,368.0,509.0,456.7,477.0,46.51415555147343,368.0,509.0,7048.9,7049.5,10.311266761277308,7030.0,7067.0,307.7,328.0,46.51415555147343,219.0,360.0,474.4,492.5,43.25942414986332,388.0,524.0,0.0,0.0,0.0,0.0,0.0,474.4,492.5,43.25942414986332,388.0,524.0,587.5,610.5,65.71867652687814,412.0,640.0,113.1,118.0,32.446366000935555,24.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6737464418655572,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,211.2,211.5,0.9189365834726815,210.0,212.0,28.9,28.0,1.286683937707919,28.0,31.0,211.2,211.5,0.9189365834726815,210.0,212.0,28.9,28.0,1.286683937707919,28.0,31.0,28.9,28.0,1.286683937707919,28.0,31.0,28.9,28.0,1.286683937707919,28.0,31.0,28.9,28.0,1.286683937707919,28.0,31.0,10,1,0.1
highest_first,least_connected,grid_highest_first_least_connected_10reps.csv,10,7,3,0.7,3,0,0,200452,290452,149,149,True,10.001728540285715,8.115562245,3.891252053372192,6.23681821,16.982035915,70.012099782,445.2857142857143,465.0,56.355166239704786,366.0,498.0,445.2857142857143,465.0,56.355166239704786,366.0,498.0,7071.285714285715,7071.0,25.309512610309756,7036.0,7113.0,296.2857142857143,316.0,56.355166239704786,217.0,349.0,467.14285714285717,486.0,54.25688457522717,391.0,519.0,0.0,0.0,0.0,0.0,0.0,467.14285714285717,486.0,54.25688457522717,391.0,519.0,630.5714285714286,591.0,139.05737082568612,431.0,853.0,163.42857142857142,126.0,107.05428084676973,32.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6653833814565288,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,210.28571428571428,210.0,1.3801311186847085,209.0,212.0,33.857142857142854,35.0,1.864454471471609,31.0,36.0,210.28571428571428,210.0,1.3801311186847085,209.0,212.0,33.857142857142854,35.0,1.864454471471609,31.0,36.0,33.857142857142854,35.0,1.864454471471609,31.0,36.0,33.857142857142854,35.0,1.864454471471609,31.0,36.0,33.857142857142854,35.0,1.864454471471609,31.0,36.0,7,1,0.14285714285714285
highest_first,random,grid_highest_first_random_10reps.csv,10,3,7,0.3,7,0,0,200452,290452,149,149,True,10.549024545666667,11.463946938,2.940874999577916,7.259438083,12.923688616,31.647073637,426.0,443.0,65.18435395092905,354.0,481.0,426.0,443.0,65.18435395092905,354.0,481.0,7055.0,7052.0,19.672315572906,7037.0,7076.0,277.0,294.0,65.18435395092905,205.0,332.0,460.6666666666667,487.0,72.19649114280647,379.0,516.0,0.0,0.0,0.0,0.0,0.0,460.6666666666667,487.0,72.19649114280647,379.0,516.0,537.0,522.0,130.14991356124673,415.0,674.0,76.33333333333333,36.0,70.72717535242965,35.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6502347417840375,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,210.0,210.0,0.0,210.0,210.0,35.666666666666664,36.0,0.5773502691896257,35.0,36.0,210.0,210.0,0.0,210.0,210.0,35.666666666666664,36.0,0.5773502691896257,35.0,36.0,35.666666666666664,36.0,0.5773502691896257,35.0,36.0,35.666666666666664,36.0,0.5773502691896257,35.0,36.0,35.666666666666664,36.0,0.5773502691896257,35.0,36.0,3,1,0.3333333333333333
highest_first,furthest_from_removed,grid_highest_first_furthest_from_removed_10reps.csv,10,1,9,0.1,9,0,0,200452,290452,149,149,True,6.377399369,6.377399369,nan,6.377399369,6.377399369,6.377399369,365.0,365.0,nan,365.0,365.0,365.0,365.0,nan,365.0,365.0,7034.0,7034.0,nan,7034.0,7034.0,216.0,216.0,nan,216.0,216.0,388.0,388.0,nan,388.0,388.0,0.0,0.0,nan,0.0,0.0,388.0,388.0,nan,388.0,388.0,420.0,420.0,nan,420.0,420.0,32.0,32.0,nan,32.0,32.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.5917808219178082,0.0,0.0,0.0,2.0,2.0,nan,2.0,2.0,210.0,210.0,nan,210.0,210.0,30.0,30.0,nan,30.0,30.0,210.0,210.0,nan,210.0,210.0,30.0,30.0,nan,30.0,30.0,30.0,30.0,nan,30.0,30.0,30.0,30.0,nan,30.0,30.0,30.0,30.0,nan,30.0,30.0,1,1,1.0
fewest_mandatory_supports,lowest_first,grid_fewest_mandatory_supports_lowest_first_10reps.csv,10,10,0,1.0,0,0,0,200452,290452,149,149,True,14.5035342272,14.4498804955,0.9267812743564605,13.102610682,15.63605624,145.035342272,1009.9,1006.5,18.015117108818483,989.0,1036.0,1009.9,1006.5,18.015117108818483,989.0,1036.0,6954.1,6962.0,39.08239160201603,6887.0,7004.0,859.2,855.5,16.877335229367354,840.0,884.0,1023.8,1022.0,20.503658210182884,999.0,1053.0,0.0,0.0,0.0,0.0,0.0,1023.8,1022.0,20.503658210182884,999.0,1053.0,1184.1,1176.0,37.28106460091742,1141.0,1244.0,160.3,152.5,18.22726894883963,142.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.850777304683632,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,241.5,241.5,2.6352313834736494,238.0,246.0,28.7,29.0,1.1595018087284057,26.0,30.0,241.5,241.5,2.6352313834736494,238.0,246.0,28.7,29.0,1.1595018087284057,26.0,30.0,28.7,29.0,1.1595018087284057,26.0,30.0,28.7,29.0,1.1595018087284057,26.0,30.0,28.7,29.0,1.1595018087284057,26.0,30.0,10,1,0.1
fewest_mandatory_supports,least_connected,grid_fewest_mandatory_supports_least_connected_10reps.csv,10,10,0,1.0,0,0,0,200452,290452,149,149,True,14.6191664207,14.821128675,0.8993366652142015,13.133047954,15.87330714,146.191664207,1072.8,1046.0,106.10456058896705,972.0,1248.0,1072.8,1046.0,106.10456058896705,972.0,1248.0,7027.7,7004.0,110.76406356656376,6911.0,7229.0,916.1,891.5,99.30698755766272,819.0,1080.0,1088.0,1063.0,109.05859790854538,984.0,1268.0,2.7,1.0,3.093002855909879,0.0,7.0,1085.3,1062.5,106.17182091099104,984.0,1261.0,1346.7,1242.5,271.27233139002175,1063.0,1849.0,261.4,187.5,168.68063183292728,72.0,588.0,1.8,0.0,4.366539438350084,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.8539336316181954,0.0024816176470588234,0.006838905775075988,0.0,2.0,2.0,0.0,2.0,2.0,243.4,244.0,1.7126976771553506,240.0,246.0,29.4,29.0,2.1705094128132942,27.0,33.0,243.4,244.0,1.7126976771553506,240.0,246.0,29.4,29.0,2.1705094128132942,27.0,33.0,29.4,29.0,2.1705094128132942,27.0,33.0,29.4,29.0,2.1705094128132942,27.0,33.0,29.4,29.0,2.1705094128132942,27.0,33.0,10,1,0.1
