removal_strategy,included_rod_count,expected_runs,recorded_runs,successful_runs,failed_runs,missing_not_attempted_runs,runtime_limit_failures,open_list_exhausted_failures,runtime_successful_mean_s,runtime_successful_median_s,runtime_successful_std_s,runtime_successful_min_s,runtime_successful_max_s
default,1,5,5,5,0,0,0,0,0.000748451,0.000744813,1.8718042539218702e-05,0.000727406,0.000778055
default,3,5,5,5,0,0,0,0,0.0042492056,0.004248053,6.248612129745298e-05,0.004169501,0.004339621
default,5,5,5,5,0,0,0,0,0.0085807054,0.008942999,0.0007717931499853443,0.007226512,0.009080941
default,7,5,5,5,0,0,0,0,0.012691502,0.012309946,0.0010451920813946112,0.011987484,0.014497438
default,9,5,5,5,0,0,0,0,0.0185673422,0.018674983,0.0005874303301619697,0.017583928,0.01904469
default,11,5,5,5,0,0,0,0,0.0233187838,0.022904287,0.0015729659801542752,0.021828888,0.025987401
default,13,5,5,5,0,0,0,0,0.0302230006,0.030319297,0.0007100437484720932,0.02940789,0.031051562
default,15,5,5,5,0,0,0,0,0.0375157068,0.037928846,0.001452827686279657,0.035930619,0.039175048
default,17,5,5,5,0,0,0,0,0.0441142176,0.044503975,0.0013714385752695236,0.042570236,0.045762193
default,19,5,5,5,0,0,0,0,0.053886162,0.053857619,0.0007605450920208473,0.053116267,0.055095695
default,21,5,5,5,0,0,0,0,0.0592089296,0.059210045,0.0013794616333491472,0.057643998,0.060813234
default,23,5,5,5,0,0,0,0,0.0702080066,0.069956179,0.001492186439274361,0.06829715,0.071804227
default,25,5,5,5,0,0,0,0,0.0777409988,0.077885514,0.0021417199148373004,0.075398511,0.080015867
default,27,5,5,5,0,0,0,0,0.0861837534,0.085868402,0.0010473567652231983,0.085004477,0.08744494
default,29,5,5,5,0,0,0,0,0.1030656636,0.103315445,0.006788704596656004,0.094269418,0.111978168
default,31,5,5,5,0,0,0,0,0.11286634200000001,0.113020617,0.0027095891921444493,0.110333275,0.116999847
default,33,5,5,5,0,0,0,0,0.130499007,0.129958692,0.00372648634661675,0.126892487,0.136643318
default,35,5,5,5,0,0,0,0,0.1497843702,0.147657031,0.00745548668598652,0.142950622,0.161063682
default,37,5,5,5,0,0,0,0,0.15936320199999998,0.155379788,0.010609387000889939,0.152471895,0.178167906
default,39,5,5,5,0,0,0,0,0.1827821964,0.181019394,0.009949732502460874,0.172444634,0.195170919
default,41,5,5,5,0,0,0,0,0.198834494,0.196794032,0.006691000092836494,0.191814298,0.209500948
default,43,5,5,5,0,0,0,0,0.2166013646,0.216243019,0.003350267807931973,0.213255454,0.221903695
default,45,5,5,5,0,0,0,0,0.2437917148,0.240417586,0.008079171830163694,0.235435017,0.254186066
default,47,5,5,5,0,0,0,0,0.30798151960000003,0.312524482,0.010620783555266125,0.295895196,0.317268676
