repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,peak_supports,support_steps,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,382500735,0.382500735,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]","[5, 0, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10, 22, 16, 3, 8]",True,complete,59,59,210,39,104,0,104,104,2,26,26,10,10,10,10
1,453,2,2,18,"[3, 8]","[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","{""support_1"": 16, ""support_2"": 23}","[16, 23]",2,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,238148072,0.238148072,"[16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 5, 0]","[0, 5, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10, 22, 16]",False,complete,55,55,171,37,75,0,75,75,2,24,24,9,9,8,10
1,454,3,4,16,"[3, 8, 16, 22]","[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 21, 23]","{""support_1"": 10, ""support_2"": 23}","[10, 23]",2,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,147628482,0.147628482,"[10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 5, 0]","[0, 5, 13, 15, 7, 2, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10]",False,complete,36,36,136,20,54,0,54,54,2,20,20,7,7,6,8
1,455,4,6,14,"[3, 8, 10, 14, 16, 22]","[0, 1, 2, 4, 5, 6, 7, 9, 11, 12, 13, 15, 21, 23]","{""support_1"": 11, ""support_2"": 23}","[11, 23]",2,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,123100612,0.123100612,"[11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]","[5, 0, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4, 12, 11]",True,complete,25,25,105,11,42,0,42,42,2,16,16,6,6,5,7
1,456,5,8,12,"[3, 8, 10, 11, 12, 14, 16, 22]","[0, 1, 2, 4, 5, 6, 7, 9, 13, 15, 21, 23]","{""support_1"": 21, ""support_2"": 23}","[21, 23]",2,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,40081645,0.040081645,"[4, 21, 23, 1, 9, 6, 2, 7, 13, 15, 0, 5]","[5, 0, 15, 13, 7, 2, 6, 9, 1, 23, 21, 4]",False,complete,17,17,78,5,23,0,23,23,2,12,12,5,5,3,5
1,457,6,10,10,"[3, 4, 8, 10, 11, 12, 14, 16, 21, 22]","[0, 1, 2, 5, 6, 7, 9, 13, 15, 23]","{""support_1"": 2, ""support_2"": 23}","[2, 23]",2,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,30933148,0.030933148,"[23, 1, 9, 6, 7, 2, 15, 13, 0, 5]","[5, 0, 13, 15, 2, 7, 6, 9, 1, 23]",False,complete,14,14,55,4,19,0,19,19,2,8,8,3,3,2,4
1,458,7,12,8,"[1, 3, 4, 8, 10, 11, 12, 14, 16, 21, 22, 23]","[0, 2, 5, 6, 7, 9, 13, 15]","{""support_1"": 2, ""support_2"": 9}","[2, 9]",2,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,15772390,0.015772390,"[9, 6, 2, 7, 15, 13, 0, 5]","[5, 0, 13, 15, 7, 2, 6, 9]",False,complete,9,9,36,1,12,0,12,12,2,5,5,2,2,1,3
1,459,8,14,6,"[1, 3, 4, 6, 8, 9, 10, 11, 12, 14, 16, 21, 22, 23]","[0, 2, 5, 7, 13, 15]","{""support_1"": 2, ""support_2"": 7}","[2, 7]",2,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,8215959,0.008215959,"[7, 2, 15, 13, 0, 5]","[5, 0, 13, 15, 2, 7]",False,complete,6,6,21,0,8,0,8,8,1,1,1,1,1,0,2
1,460,9,16,4,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 21, 22, 23]","[0, 5, 13, 15]",{},[],0,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,3547026,0.003547026,"[13, 15, 0, 5]","[5, 0, 15, 13]",True,complete,4,4,10,0,5,0,5,5,0,0,0,0,0,0,0
1,461,10,18,2,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 5]",{},[],0,"[8, 3, 16, 22, 10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,1251659,0.001251659,"[0, 5]","[5, 0]",True,complete,2,2,3,0,3,0,3,3,0,0,0,0,0,0,0
2,10452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,348530941,0.348530941,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]","[5, 0, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16, 3, 8]",True,complete,57,57,210,37,102,0,102,102,2,26,26,10,10,10,10
2,10453,2,2,18,"[3, 8]","[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","{""support_1"": 16, ""support_2"": 23}","[16, 23]",2,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,226567341,0.226567341,"[16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 0, 5]","[5, 0, 13, 15, 7, 2, 6, 9, 1, 23, 21, 4, 14, 11, 12, 10, 22, 16]",False,complete,56,56,171,38,76,0,76,76,2,24,24,9,9,8,10
2,10454,3,4,16,"[3, 8, 16, 22]","[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 21, 23]","{""support_1"": 10, ""support_2"": 23}","[10, 23]",2,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,139300510,0.139300510,"[10, 14, 11, 12, 4, 21, 23, 1, 9, 6, 2, 7, 15, 13, 5, 0]","[0, 5, 13, 15, 7, 2, 6, 9, 1, 23, 21, 4, 12, 11, 14, 10]",False,complete,35,35,136,19,53,0,53,53,2,20,20,7,7,6,8
2,10455,4,6,14,"[3, 8, 10, 12, 16, 22]","[0, 1, 2, 4, 5, 6, 7, 9, 11, 13, 14, 15, 21, 23]","{""support_1"": 11, ""support_2"": 23}","[11, 23]",2,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,99694398,0.099694398,"[11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 15, 13, 0, 5]","[5, 0, 13, 15, 2, 7, 6, 9, 1, 23, 21, 4, 14, 11]",False,complete,25,25,105,11,42,0,42,42,2,16,16,6,6,5,7
2,10456,5,8,12,"[3, 8, 10, 11, 12, 14, 16, 22]","[0, 1, 2, 4, 5, 6, 7, 9, 13, 15, 21, 23]","{""support_1"": 21, ""support_2"": 23}","[21, 23]",2,"[8, 3, 16, 22, 10, 12, 11, 14, 4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]",True,42762359,0.042762359,"[4, 21, 23, 1, 9, 6, 7, 2, 13, 15, 0, 5]","[5, 0, 15, 13, 2, 7, 6, 9, 1, 23, 21, 4]",True,complete,17,17,78,5,23,0,23,23,2,12,12,5,5,3,5
