repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,peak_supports,support_steps,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,360198713,0.360198713,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 1, 3, 4, 14, 7, 2, 12, 15, 13, 23, 22, 21, 8]",True,complete,20,20,210,0,109,0,109,109,2,19,19,3,3,3,3
1,453,2,2,18,"[8, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,287122543,0.287122543,"[22, 23, 15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 1, 3, 4, 12, 7, 2, 14, 13, 15, 23, 22]",False,complete,18,18,171,0,105,0,105,105,2,19,19,3,3,3,3
1,454,3,4,16,"[8, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,245261204,0.245261204,"[13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 3, 1, 4, 14, 7, 2, 12, 15, 13]",False,complete,16,16,136,0,95,0,95,95,2,19,19,3,3,3,3
1,455,4,6,14,"[8, 13, 15, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,219401487,0.219401487,"[14, 2, 7, 12, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 3, 1, 4, 12, 7, 2, 14]",False,complete,14,14,105,0,81,0,81,81,2,19,19,3,3,3,3
1,456,5,8,12,"[2, 8, 12, 13, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 14, 16]","{""support_1"": 9}",[9],1,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,109126388,0.109126388,"[7, 14, 4, 3, 1, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 1, 3, 4, 14, 7]",False,complete,12,12,78,0,52,0,52,52,2,17,17,2,2,1,2
1,457,6,10,10,"[2, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,44066582,0.044066582,"[4, 1, 3, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 3, 1, 4]",False,complete,10,10,55,0,27,0,27,27,2,14,14,2,2,0,2
1,458,7,12,8,"[2, 3, 4, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,30320820,0.030320820,"[1, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 1]",False,complete,8,8,36,0,21,0,21,21,2,10,10,2,2,0,2
1,459,8,14,6,"[0, 1, 2, 3, 4, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,18184857,0.018184857,"[11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11]",True,complete,6,6,21,0,14,0,14,14,2,6,6,2,2,0,2
1,460,9,16,4,"[0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 21, 22, 23]","[5, 9, 10, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,8280385,0.008280385,"[9, 10, 16, 5]","[5, 16, 10, 9]",True,complete,4,4,10,0,8,0,8,8,1,2,2,1,1,0,2
1,461,10,18,2,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[5, 16]","{""support_2"": 16}",[16],1,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,2592375,0.002592375,"[16, 5]","[5, 16]",True,complete,2,2,3,0,4,0,4,4,0,0,0,0,0,0,1
2,10452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,312480321,0.312480321,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 3, 1, 4, 14, 7, 2, 12, 13, 15, 23, 22, 21, 8]",True,complete,20,20,210,0,109,0,109,109,2,19,19,3,3,3,3
2,10453,2,2,18,"[8, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,294707574,0.294707574,"[22, 23, 15, 13, 14, 2, 7, 12, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 3, 1, 4, 12, 7, 2, 14, 13, 15, 23, 22]",False,complete,18,18,171,0,105,0,105,105,2,19,19,3,3,3,3
2,10454,3,4,16,"[8, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,251382504,0.251382504,"[15, 13, 14, 2, 7, 12, 4, 3, 1, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 1, 3, 4, 12, 7, 2, 14, 13, 15]",False,complete,16,16,136,0,95,0,95,95,2,19,19,3,3,3,3
2,10455,4,6,14,"[8, 13, 15, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",{},[],0,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,198974596,0.198974596,"[12, 2, 7, 14, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 3, 1, 4, 14, 7, 2, 12]",False,complete,14,14,105,0,81,0,81,81,2,19,19,3,3,3,3
2,10456,5,8,12,"[2, 8, 12, 13, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 14, 16]","{""support_1"": 9}",[9],1,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,104849703,0.104849703,"[7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 3, 1, 4, 14, 7]",True,complete,12,12,78,0,52,0,52,52,2,17,17,2,2,1,2
2,10457,6,10,10,"[2, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,41914509,0.041914509,"[4, 1, 3, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 3, 1, 4]",True,complete,10,10,55,0,27,0,27,27,2,14,14,2,2,0,2
2,10458,7,12,8,"[1, 2, 4, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 3, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,29080468,0.029080468,"[3, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 3]",True,complete,8,8,36,0,21,0,21,21,2,10,10,2,2,0,2
2,10459,8,14,6,"[0, 1, 2, 3, 4, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,17668131,0.017668131,"[11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11]",True,complete,6,6,21,0,14,0,14,14,2,6,6,2,2,0,2
2,10460,9,16,4,"[0, 1, 2, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[5, 6, 9, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,8190939,0.008190939,"[16, 6, 9, 5]","[5, 9, 6, 16]",True,complete,4,4,10,0,8,0,8,8,1,2,2,1,1,0,2
2,10461,10,18,2,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[5, 9]","{""support_1"": 9}",[9],1,"[8, 21, 22, 23, 15, 13, 12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]",True,2560858,0.002560858,"[9, 5]","[5, 9]",True,complete,2,2,3,0,4,0,4,4,0,0,0,0,0,0,1
3,20452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,323350528,0.323350528,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 1, 3, 4, 14, 7, 2, 12, 15, 13, 23, 22, 21, 8]",True,complete,20,20,210,0,109,0,109,109,2,19,19,3,3,3,3
3,20453,2,2,18,"[8, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,305766055,0.305766055,"[22, 23, 15, 13, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 1, 3, 4, 14, 7, 2, 12, 13, 15, 23, 22]",False,complete,18,18,171,0,105,0,105,105,2,19,19,3,3,3,3
3,20454,3,4,16,"[8, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,272645616,0.272645616,"[13, 15, 14, 2, 7, 12, 4, 3, 1, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 1, 3, 4, 12, 7, 2, 14, 15, 13]",False,complete,16,16,136,0,95,0,95,95,2,19,19,3,3,3,3
3,20455,4,6,14,"[8, 13, 15, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,220400018,0.220400018,"[12, 2, 7, 14, 4, 1, 3, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 3, 1, 4, 14, 7, 2, 12]",False,complete,14,14,105,0,81,0,81,81,2,19,19,3,3,3,3
3,20456,5,8,12,"[2, 8, 12, 13, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 14, 16]","{""support_1"": 9}",[9],1,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,114644499,0.114644499,"[7, 14, 4, 3, 1, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 1, 3, 4, 14, 7]",False,complete,12,12,78,0,52,0,52,52,2,17,17,2,2,1,2
3,20457,6,10,10,"[2, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,46723012,0.046723012,"[4, 3, 1, 0, 11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11, 0, 1, 3, 4]",False,complete,10,10,55,0,27,0,27,27,2,14,14,2,2,0,2
3,20458,7,12,8,"[2, 3, 4, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,32232905,0.032232905,"[1, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 1]",True,complete,8,8,36,0,21,0,21,21,2,10,10,2,2,0,2
3,20459,8,14,6,"[0, 1, 2, 3, 4, 7, 8, 12, 13, 14, 15, 21, 22, 23]","[5, 6, 9, 10, 11, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,18654661,0.018654661,"[11, 10, 16, 6, 9, 5]","[5, 9, 6, 16, 10, 11]",False,complete,6,6,21,0,14,0,14,14,2,6,6,2,2,0,2
3,20460,9,16,4,"[0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 21, 22, 23]","[5, 9, 10, 16]","{""support_1"": 9, ""support_2"": 16}","[9, 16]",2,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,9267252,0.009267252,"[9, 10, 16, 5]","[5, 16, 10, 9]",True,complete,4,4,10,0,8,0,8,8,1,2,2,1,1,0,2
3,20461,10,18,2,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[5, 16]","{""support_2"": 16}",[16],1,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]",True,2858104,0.002858104,"[16, 5]","[5, 16]",True,complete,2,2,3,0,4,0,4,4,0,0,0,0,0,0,1
4,30452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]",True,331289731,0.331289731,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 3, 1, 4, 14, 7, 2, 12, 15, 13, 23, 22, 21, 8]",True,complete,20,20,210,0,109,0,109,109,2,19,19,3,3,3,3
4,30453,2,2,18,"[8, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]",True,317876080,0.317876080,"[22, 23, 15, 13, 14, 2, 7, 12, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 3, 1, 4, 12, 7, 2, 14, 13, 15, 23, 22]",False,complete,18,18,171,0,105,0,105,105,2,19,19,3,3,3,3
4,30454,3,4,16,"[8, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]",True,262180075,0.262180075,"[13, 15, 12, 2, 7, 14, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 1, 3, 4, 14, 7, 2, 12, 15, 13]",False,complete,16,16,136,0,95,0,95,95,2,19,19,3,3,3,3
4,30455,4,6,14,"[8, 13, 15, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",{},[],0,"[8, 21, 22, 23, 13, 15, 12, 2, 7, 14, 4, 1, 3, 0, 11, 6, 9, 10, 16, 5]",True,202088937,0.202088937,"[14, 2, 7, 12, 4, 3, 1, 0, 11, 6, 9, 10, 16, 5]","[5, 16, 10, 9, 6, 11, 0, 1, 3, 4, 12, 7, 2, 14]",False,complete,14,14,105,0,81,0,81,81,2,19,19,3,3,3,3
