repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,peak_supports,support_steps,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,5105502004,5.105502004,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]","[0, 16, 3, 8, 1, 4, 6, 5, 10, 11, 14, 21, 7, 12, 23, 2, 13, 15, 22, 9]",True,complete,20,20,129,0,1299,0,1299,1299,2,19,19,4,4,4,4
1,453,2,2,18,"[9, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 23]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,3634657498,3.634657498,"[13, 21, 15, 2, 8, 7, 6, 16, 10, 5, 14, 11, 1, 4, 12, 3, 23, 0]","[0, 23, 3, 12, 4, 1, 11, 14, 5, 10, 16, 6, 7, 8, 2, 15, 21, 13]",False,complete,18,18,108,0,1044,0,1044,1044,2,16,16,5,5,5,5
1,454,3,4,16,"[9, 13, 15, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 16, 21, 23]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,2011114795,2.011114795,"[21, 23, 2, 7, 14, 8, 16, 3, 1, 0, 4, 10, 11, 6, 12, 5]","[5, 12, 6, 11, 10, 4, 0, 1, 3, 16, 8, 14, 7, 2, 23, 21]",False,complete,17,17,80,0,663,0,663,663,2,20,20,4,4,4,4
1,455,4,6,14,"[2, 9, 13, 15, 22, 23]","[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 16, 21]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,1004915693,1.004915693,"[12, 7, 21, 10, 8, 6, 5, 11, 1, 4, 14, 3, 16, 0]","[0, 16, 3, 14, 4, 1, 11, 5, 6, 8, 10, 21, 7, 12]",False,complete,14,14,57,0,378,0,378,378,2,19,19,4,4,4,4
1,456,5,8,12,"[2, 7, 9, 12, 13, 15, 22, 23]","[0, 1, 3, 4, 5, 6, 8, 10, 11, 14, 16, 21]","{""support_1"": 16}",[16],1,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,460386680,0.460386680,"[21, 10, 8, 6, 5, 11, 1, 4, 14, 3, 16, 0]","[0, 16, 3, 14, 4, 1, 11, 5, 6, 8, 10, 21]",False,complete,13,13,40,0,207,0,207,207,2,17,17,3,3,2,3
1,457,6,10,10,"[2, 7, 9, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 8, 10, 11, 16]","{""support_1"": 16, ""support_2"": 6}","[6, 16]",2,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,155828017,0.155828017,"[11, 10, 5, 6, 4, 1, 8, 3, 16, 0]","[0, 16, 3, 8, 1, 4, 6, 5, 10, 11]",True,complete,10,10,24,0,92,0,92,92,2,14,14,3,3,1,3
1,458,7,12,8,"[2, 7, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 8, 16]","{""support_1"": 16, ""support_2"": 6}","[6, 16]",2,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,77345434,0.077345434,"[5, 6, 4, 1, 8, 3, 16, 0]","[0, 16, 3, 8, 1, 4, 6, 5]",True,complete,8,8,21,0,55,0,55,55,2,10,10,3,3,1,3
1,459,8,14,6,"[2, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 1, 3, 4, 8, 16]","{""support_1"": 16, ""support_2"": 8}","[8, 16]",2,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,34856848,0.034856848,"[4, 3, 16, 1, 8, 0]","[0, 8, 1, 16, 3, 4]",False,complete,6,6,16,0,30,0,30,30,2,6,6,2,2,0,2
1,460,9,16,4,"[1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 3, 8, 16]","{""support_1"": 16, ""support_2"": 8}","[8, 16]",2,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,13764422,0.013764422,"[8, 3, 16, 0]","[0, 16, 3, 8]",True,complete,4,4,9,0,15,0,15,15,1,2,2,1,1,0,2
1,461,10,18,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 16]","{""support_1"": 16}",[16],1,"[9, 22, 15, 13, 2, 23, 12, 7, 21, 14, 11, 10, 5, 6, 4, 1, 8, 3, 16, 0]",True,3020785,0.003020785,"[16, 0]","[0, 16]",True,complete,2,2,3,0,5,0,5,5,0,0,0,0,0,0,1
