repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,optimal_objective,optimality_proven,best_support_moves,best_support_peak,best_support_steps,optimal_support_moves,optimal_support_peak,optimal_support_steps,peak_supports,support_steps,support_moves,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,813325465716,813.325465716,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]","[5, 0, 9, 1, 6, 7, 4, 2, 3, 14, 11, 12, 10, 21, 23, 22, 16, 15, 8, 13]",True,complete,6287,6287,16353,0,162481,3736,158745,2000,,False,,,,,,,1,14,6,14,6,6,6,6
1,453,2,2,18,"[8, 13]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 21, 22, 23]",{},[],0,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,138782136622,138.782136622,"[23, 22, 16, 15, 10, 2, 14, 11, 3, 12, 4, 21, 7, 6, 5, 1, 9, 0]","[0, 9, 1, 5, 6, 7, 21, 4, 12, 3, 11, 14, 2, 10, 15, 16, 22, 23]",False,complete,1035,1035,3384,0,30534,1039,29495,2000,,False,,,,,,,1,14,5,14,5,5,5,5
1,454,3,4,16,"[8, 13, 15, 16]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 21, 22, 23]","{""support_1"": 23}",[23],1,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,18866990121,18.866990121,"[2, 22, 23, 10, 14, 11, 3, 12, 4, 21, 1, 7, 0, 6, 9, 5]","[5, 9, 6, 0, 7, 1, 21, 4, 12, 3, 11, 14, 10, 23, 22, 2]",False,complete,159,159,635,0,4755,273,4482,2000,,False,,,,,,,1,14,5,14,6,6,5,6
1,455,4,6,14,"[8, 13, 15, 16, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 21]","{""support_1"": 10}",[10],1,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,6444737208,6.444737208,"[2, 10, 14, 11, 12, 21, 3, 4, 1, 0, 7, 6, 9, 5]","[5, 9, 6, 7, 0, 1, 4, 3, 21, 12, 11, 14, 10, 2]",False,complete,61,61,309,0,1851,116,1735,1735,,False,,,,,,,1,12,5,12,6,6,5,6
1,456,5,8,12,"[8, 10, 13, 15, 16, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 14]","{""support_1"": 11}",[11],1,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,2209151859,2.209151859,"[14, 11, 12, 2, 3, 4, 1, 7, 0, 6, 9, 5]","[5, 9, 6, 0, 7, 1, 4, 3, 2, 12, 11, 14]",False,complete,30,30,132,0,706,37,669,669,,False,,,,,,,1,10,3,10,4,4,3,4
1,457,6,10,10,"[8, 10, 11, 12, 13, 15, 16, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 14]","{""support_1"": 14}",[14],1,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,501017226,0.501017226,"[3, 14, 4, 2, 1, 7, 6, 9, 0, 5]","[5, 0, 9, 6, 7, 1, 2, 4, 14, 3]",False,complete,16,16,65,0,208,8,200,200,,False,,,,,,,1,7,3,7,4,4,3,4
1,458,7,12,8,"[3, 8, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 2, 4, 5, 6, 7, 9]","{""support_1"": 4}",[4],1,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,210133808,0.210133808,"[4, 2, 7, 6, 1, 9, 0, 5]","[5, 0, 9, 1, 6, 7, 2, 4]",False,complete,9,9,36,0,98,3,95,95,,False,,,,,,,1,5,2,5,2,2,2,3
1,459,8,14,6,"[2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 5, 6, 7, 9]","{""support_1"": 9}",[9],1,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,76647209,0.076647209,"[7, 1, 6, 9, 0, 5]","[5, 0, 9, 6, 1, 7]",False,complete,7,7,26,0,45,1,44,44,,False,,,,,,,1,3,0,3,1,1,0,1
1,460,9,16,4,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 5, 9]","{""support_1"": 9}",[9],1,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,17001805,0.017001805,"[1, 9, 0, 5]","[5, 0, 9, 1]",True,complete,4,4,10,0,14,0,14,14,,False,,,,,,,1,1,0,1,1,1,0,1
1,461,10,18,2,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 5]",{},[],0,"[13, 8, 15, 16, 22, 23, 21, 10, 12, 11, 14, 3, 2, 4, 7, 6, 1, 9, 0, 5]",True,2620875,0.002620875,"[0, 5]","[5, 0]",True,complete,2,2,3,0,4,0,4,4,,False,,,,,,,0,0,0,0,0,0,0,0
