repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,optimal_support_peak,peak_supports,support_steps,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,16773602352,16.773602352,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]","[5, 7, 6, 8, 1, 0, 4, 3, 23, 12, 11, 15, 10, 16, 21, 9, 2, 22, 13, 14]",True,complete,4244,4244,941,3303,4042,3,4039,2000,1,1,18,18,9,9,9,9
1,453,2,2,18,"[13, 14]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 21, 22, 23]","{""support_1"": 1}",[1],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,5704797620,5.704797620,"[7, 9, 23, 8, 21, 6, 15, 11, 12, 2, 1, 4, 22, 10, 5, 16, 0, 3]","[3, 0, 16, 5, 10, 22, 4, 1, 2, 12, 11, 15, 6, 21, 8, 23, 9, 7]",False,complete,254,254,53,201,1888,0,1888,1888,1,1,17,17,8,8,7,8
1,454,3,4,16,"[2, 13, 14, 22]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 21, 23]","{""support_1"": 1}",[1],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,18053852175,18.053852175,"[9, 21, 15, 16, 10, 11, 12, 23, 3, 4, 1, 8, 7, 0, 6, 5]","[5, 6, 0, 7, 8, 1, 4, 3, 23, 12, 11, 10, 16, 15, 21, 9]",False,complete,726,726,141,585,5779,0,5779,2000,1,1,14,14,8,8,7,8
1,455,4,6,14,"[2, 9, 13, 14, 21, 22]","[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 15, 16, 23]","{""support_1"": 1}",[1],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,4048898904,4.048898904,"[15, 8, 1, 4, 12, 7, 6, 11, 10, 16, 5, 23, 0, 3]","[3, 0, 23, 5, 16, 10, 11, 6, 7, 12, 4, 1, 8, 15]",False,complete,177,177,29,148,1349,0,1349,1349,1,1,13,13,7,7,6,7
1,456,5,8,12,"[2, 9, 10, 13, 14, 16, 21, 22]","[0, 1, 3, 4, 5, 6, 7, 8, 11, 12, 15, 23]","{""support_1"": 11}",[11],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,2011099000,2.011099000,"[11, 12, 15, 23, 3, 4, 7, 6, 1, 0, 5, 8]","[8, 5, 0, 1, 6, 7, 4, 3, 23, 15, 12, 11]",False,complete,104,104,22,82,722,0,722,722,1,1,11,11,4,4,4,5
1,457,6,10,10,"[2, 9, 10, 11, 13, 14, 15, 16, 21, 22]","[0, 1, 3, 4, 5, 6, 7, 8, 12, 23]","{""support_1"": 12}",[12],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,335059527,0.335059527,"[12, 23, 3, 4, 1, 8, 7, 6, 0, 5]","[5, 0, 6, 7, 8, 1, 4, 3, 23, 12]",False,complete,25,25,10,15,130,0,130,130,1,1,7,7,4,4,4,5
1,458,7,12,8,"[2, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 3, 4, 5, 6, 7, 8]","{""support_1"": 4}",[4],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,181331159,0.181331159,"[3, 4, 7, 1, 0, 6, 5, 8]","[8, 5, 6, 0, 1, 7, 4, 3]",False,complete,21,21,8,13,87,0,87,87,1,1,7,7,3,3,2,3
1,459,8,14,6,"[2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 5, 6, 7, 8]","{""support_1"": 1}",[1],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,40780121,0.040780121,"[7, 6, 8, 1, 0, 5]","[5, 0, 1, 8, 6, 7]",False,complete,9,9,6,3,25,0,25,25,1,1,3,3,2,2,2,3
1,460,9,16,4,"[0, 1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[5, 6, 7, 8]","{""support_1"": 8}",[8],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,34860516,0.034860516,"[8, 6, 5, 7]","[7, 5, 6, 8]",False,complete,7,7,4,3,19,0,19,19,1,1,3,3,2,2,2,3
1,461,10,18,2,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[5, 7]","{""support_1"": 7}",[7],1,"[14, 13, 22, 2, 9, 21, 16, 10, 15, 11, 12, 23, 3, 4, 0, 1, 8, 6, 7, 5]",True,3725721,0.003725721,"[7, 5]","[5, 7]",True,complete,2,2,2,0,4,0,4,4,1,0,0,0,0,0,0,1
