repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,initial_supports,initial_supported_rods,initial_support_count,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,matches_default_suffix,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,search_backtracks,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries,peak_supports,support_steps,supported_rod_steps,support_assignment_episodes,supported_rod_episodes,support_additions,support_releases
1,452,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,732115595,0.732115595,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]","[1, 21, 4, 0, 3, 8, 6, 14, 11, 10, 5, 7, 16, 12, 23, 2, 13, 15, 22, 9]",True,complete,26,26,210,6,246,26,220,220,2,22,22,8,8,8,8
1,453,2,2,18,"[9, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 23]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,543696498,0.543696498,"[13, 21, 15, 2, 8, 16, 7, 23, 3, 10, 5, 6, 11, 12, 0, 1, 14, 4]","[4, 14, 1, 0, 12, 11, 6, 5, 10, 3, 23, 7, 16, 8, 2, 15, 21, 13]",False,complete,30,30,171,12,212,30,182,182,2,24,24,8,8,8,8
1,454,3,4,16,"[9, 13, 15, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 16, 21, 23]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,360153947,0.360153947,"[21, 23, 2, 7, 14, 8, 6, 5, 10, 16, 11, 12, 0, 1, 3, 4]","[4, 3, 1, 0, 12, 11, 16, 10, 5, 6, 8, 14, 7, 2, 23, 21]",False,complete,19,19,136,3,164,19,145,145,2,22,22,7,7,7,7
1,455,4,6,14,"[2, 9, 13, 15, 22, 23]","[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 16, 21]",{},[],0,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,250685266,0.250685266,"[12, 21, 7, 8, 6, 5, 10, 16, 11, 14, 4, 3, 0, 1]","[1, 0, 3, 4, 14, 11, 16, 10, 5, 6, 8, 7, 21, 12]",False,complete,17,17,105,3,131,17,114,114,2,22,22,7,7,7,7
1,456,5,8,12,"[2, 9, 12, 13, 15, 16, 22, 23]","[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 14, 21]","{""support_1"": 7, ""support_2"": 10}","[7, 10]",2,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,179411703,0.179411703,"[7, 5, 10, 6, 8, 11, 14, 3, 0, 4, 1, 21]","[21, 1, 4, 0, 3, 14, 11, 8, 6, 10, 5, 7]",False,complete,18,18,78,6,109,18,91,91,2,19,19,7,7,6,8
1,457,6,10,10,"[2, 5, 7, 9, 12, 13, 15, 16, 22, 23]","[0, 1, 3, 4, 6, 8, 10, 11, 14, 21]","{""support_1"": 6, ""support_2"": 10}","[6, 10]",2,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,108664554,0.108664554,"[10, 11, 14, 6, 8, 3, 0, 4, 21, 1]","[1, 21, 4, 0, 3, 8, 6, 14, 11, 10]",True,complete,14,14,55,4,77,14,63,63,2,15,15,6,6,5,7
1,458,7,12,8,"[2, 5, 7, 9, 10, 11, 12, 13, 15, 16, 22, 23]","[0, 1, 3, 4, 6, 8, 14, 21]","{""support_1"": 6, ""support_2"": 14}","[6, 14]",2,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,60399351,0.060399351,"[14, 6, 8, 3, 0, 4, 21, 1]","[1, 21, 4, 0, 3, 8, 6, 14]",True,complete,8,8,36,0,49,8,41,41,2,11,11,4,4,3,5
1,459,8,14,6,"[2, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]","[0, 1, 3, 4, 8, 21]","{""support_1"": 8, ""support_2"": 21}","[8, 21]",2,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,29450535,0.029450535,"[8, 3, 0, 4, 21, 1]","[1, 21, 4, 0, 3, 8]",True,complete,6,6,21,0,30,6,24,24,2,7,7,2,2,1,3
1,460,9,16,4,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]","[0, 1, 4, 21]","{""support_2"": 21}",[21],1,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,13188298,0.013188298,"[0, 4, 21, 1]","[1, 21, 4, 0]",True,complete,4,4,10,0,17,4,13,13,2,5,5,2,2,1,2
1,461,10,18,2,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23]","[1, 21]","{""support_1"": 1, ""support_2"": 21}","[1, 21]",2,"[9, 22, 15, 13, 2, 23, 12, 16, 7, 5, 10, 11, 14, 6, 8, 3, 0, 4, 21, 1]",True,3724810,0.003724810,"[21, 1]","[1, 21]",True,complete,2,2,3,0,7,2,5,5,1,1,1,1,1,0,2
